Dataset:              Benthic Species Abundance Data
File Name:            va91_3_2.txt
Date Created:         03/10/96
# Variables:          7
# Header Records:     17
# Data Records:       3342
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              LATIN NAME   Scientific (Latin) name
              #GRABS       Number of grabs
              T_ABN        Total abundance (#)
              M_ABN        Mean abundance (#)
              SDABN        Std. dev. of mean abundance

STA_NAME   DATE LATIN NAME                       #GRABS  T_ABN    M_ABN  SDABN
VA91-262 910815 AMASTIGOS CAPERATUS                   3     45    15.00   7.21
VA91-262 910815 AMPELISCA SPP.                        3      1     0.33   0.58
VA91-262 910815 AMPELISCA VERRILLI                    3      1     0.33   0.58
VA91-262 910815 ANACHIS LAFRESNAYI                    3      1     0.33   0.58
VA91-262 910815 ANACHIS OBESA                         3     52    17.33  11.06
VA91-262 910815 ANADARA TRANSVERSA                    3     19     6.33   8.50
VA91-262 910815 APOPRIONOSPIO PYGMAEA                 3     11     3.67   1.53
VA91-262 910815 ARABELLIDAE                           3      1     0.33   0.58
VA91-262 910815 ASABELLIDES OCULATA                   3      1     0.33   0.58
VA91-262 910815 ASCIDIACEA                            3      1     0.33   0.58
VA91-262 910815 ASTYRIS LUNATA                        3     22     7.33   7.02
VA91-262 910815 AUTOLYTUS                             3      1     0.33   0.58
VA91-262 910815 Autolyninae                           3      1     0.33   0.58
VA91-262 910815 BALANUS IMPROVISUS                    3     32    10.67  14.36
VA91-262 910815 BALANUS SPP.                          3    190    63.33  71.00
VA91-262 910815 BATEA CATHARINENSIS                   3     43    14.33  16.65
VA91-262 910815 BHAWANIA HETEROSETA                   3      3     1.00   1.00
VA91-262 910815 BIVALVIA: OTHER - UNIDENTIFIED        3      1     0.33   0.58
VA91-262 910815 BOONEA SEMINUDA                       3      4     1.33   1.53
VA91-262 910815 CARAZZIELLA HOBSONAE                  3      1     0.33   0.58
VA91-262 910815 CIRRATULIDAE                          3     35    11.67   9.02
VA91-262 910815 CLYMENELLA TORQUATA                   3      4     1.33   1.53
VA91-262 910815 COROPHIUM TUBERCULATUM                3    345   115.00 126.76
VA91-262 910815 CRANGON SEPTEMSPINOSA                 3      1     0.33   0.58
VA91-262 910815 CRATENA PILATA                        3      3     1.00   1.73
VA91-262 910815 CREPIDULA SPP.                        3     67    22.33  36.96
VA91-262 910815 Crepidula convexa-fornicata complex   3     28     9.33  16.17
VA91-262 910815 DIOPATRA CUPREA                       3      1     0.33   0.58
VA91-262 910815 DRILONEREIS LONGA                     3      2     0.67   0.58
VA91-262 910815 ENSIS DIRECTUS                        3      4     1.33   2.31
VA91-262 910815 ERICTHONIUS BRASILIENSIS              3    284    94.67  77.44
VA91-262 910815 EUCERAMUS PRAELONGUS                  3     14     4.67   4.04
VA91-262 910815 EUMIDA SANGUINEA                      3      8     2.67   2.52
VA91-262 910815 GASTROPODA: OTHER                     3     16     5.33   4.93
VA91-262 910815 GLYCERA AMERICANA                     3      5     1.67   1.15
VA91-262 910815 GLYCERA SPP.                          3      1     0.33   0.58
VA91-262 910815 GLYCINDE SOLITARIA                    3      2     0.67   1.15
VA91-262 910815 Gammaropsis sutherlandi               3      8     2.67   2.52
VA91-262 910815 HARMOTHOE EXTENUATA                   3      1     0.33   0.58
VA91-262 910815 HESIONIDAE                            3      1     0.33   0.58
VA91-262 910815 HEXAPANOPEUS ANGUSTIFRONS             3      2     0.67   0.58
VA91-262 910815 HYPERETEONE FOLIOSA                   3      4     1.33   1.53
VA91-262 910815 KURTZIELLA ATROSTYLA                  3      1     0.33   0.58
VA91-262 910815 LEITOSCOLOPLOS SPP.                   3      1     0.33   0.58
VA91-262 910815 LOIMIA MEDUSA                         3     18     6.00   4.58
VA91-262 910815 MACOMA BALTHICA                       3      4     1.33   1.53
VA91-262 910815 MACOMA TENTA                          3      2     0.67   1.15
VA91-262 910815 MAGELONA SPP.                         3      1     0.33   0.58
VA91-262 910815 MALDANIDAE                            3     16     5.33   2.08
VA91-262 910815 MEDIOMASTUS AMBISETA                  3    242    80.67  13.50
VA91-262 910815 MYSELLA PLANULATA                     3     10     3.33   5.77
VA91-262 910815 NEANTHES SUCCINEA                     3      7     2.33   2.52
VA91-262 910815 NEMERTINEA                            3      8     2.67   0.58
VA91-262 910815 NEPHTYIDAE                            3      1     0.33   0.58
VA91-262 910815 NEPHTYS CRYPTOMMA                     3      2     0.67   0.58
VA91-262 910815 NEREIDIDAE                            3      5     1.67   2.08
VA91-262 910815 NUCULA ANNULATA                       3      2     0.67   1.15
VA91-262 910815 ODOSTOMIA ENGONIA                     3     15     5.00   3.61
VA91-262 910815 OLIGOCHAETA                           3     27     9.00   6.56
VA91-262 910815 OPHIUROIDEA                           3      2     0.67   0.58
VA91-262 910815 ORBINIIDAE                            3      2     0.67   0.58
VA91-262 910815 OWENIA FUSIFORMIS                     3     15     5.00   4.36
VA91-262 910815 Odostomia sp. A Mountford             3      1     0.33   0.58
VA91-262 910815 PARACAPRELLA TENUIS                   3      1     0.33   0.58
VA91-262 910815 PARAMETOPELLA CYPRIS                  3      1     0.33   0.58
VA91-262 910815 PARAPRIONOSPIO PINNATA                3      6     2.00   2.00
VA91-262 910815 PHORONIS SPP.                         3      1     0.33   0.58
VA91-262 910815 PHOXOCEPHALIDAE                       3      1     0.33   0.58
VA91-262 910815 PHYLLODOCE ARENAE                     3      3     1.00   1.00
VA91-262 910815 PINNIXA SPP.                          3      3     1.00   1.00
VA91-262 910815 PIONOSYLLIS                           3      2     0.67   0.58
VA91-262 910815 POLYCIRRUS EXIMIUS                    3      2     0.67   0.58
VA91-262 910815 POLYDORA                              3      3     1.00   0.00
VA91-262 910815 POLYDORA SOCIALIS                     3     14     4.67   3.21
VA91-262 910815 POLYDORA WEBSTERI                     3      2     0.67   0.58
VA91-262 910815 PRIONOSPIO PERKINSI                   3     65    21.67   7.77
VA91-262 910815 Pagurus spp.                          3      1     0.33   0.58
VA91-262 910815 SABELLARIA VULGARIS                   3    263    87.67  66.43
VA91-262 910815 SABELLIDAE                            3      3     1.00   1.73
VA91-262 910815 SACCOGLOSSUS KOWALEVSKII              3      1     0.33   0.58
VA91-262 910815 SCOLELEPIS BOUSFIELDI                 3      1     0.33   0.58
VA91-262 910815 SIPUNCULA                             3      1     0.33   0.58
VA91-262 910815 SPIOCHAETOPTERUS COSTARUM             3      1     0.33   0.58
VA91-262 910815 SPIOPHANES BOMBYX                     3     26     8.67   2.08
VA91-262 910815 TELLINA AGILIS                        3     27     9.00   3.61
VA91-262 910815 THALASSINIDEA                         3      1     0.33   0.58
VA91-262 910815 THARYX SP. A MORRIS                   3     49    16.33   8.50
VA91-262 910815 TURBONILLA INTERRUPTA                 3     42    14.00   9.54
VA91-262 910815 Turbonilla ?aequalis                  3     17     5.67   4.93
VA91-262 910815 Turbonilla sp. B Mountford            3     24     8.00   5.29
VA91-262 910815 UNCIOLA                               3      1     0.33   0.58
VA91-262 910815 UNCIOLA DISSIMILIS                    3      4     1.33   2.31
VA91-262 910815 UNCIOLA IRRORATA                      3      4     1.33   1.15
VA91-262 910815 VITRINELLIDAE                         3      1     0.33   0.58
VA91-262 910815 XANTHIDAE                             3      7     2.33   2.08
VA91-263 910803 ACTEOCINA CANALICULATA                3     21     7.00   2.00
VA91-263 910803 Ampelisca abdita-vadorum complex      3      3     1.00   1.00
VA91-263 910803 BALANUS IMPROVISUS                    3      2     0.67   1.15
VA91-263 910803 GLYCINDE SOLITARIA                    3     11     3.67   1.15
VA91-263 910803 HETEROMASTUS FILIFORMIS               3      6     2.00   2.65
VA91-263 910803 HYPERETEONE FOLIOSA                   3      1     0.33   0.58
VA91-263 910803 LEITOSCOLOPLOS SPP.                   3      2     0.67   1.15
VA91-263 910803 LEUCON AMERICANUS                     3      1     0.33   0.58
VA91-263 910803 MEDIOMASTUS AMBISETA                  3     23     7.67   3.06
VA91-263 910803 MELITA NITIDA                         3      1     0.33   0.58
VA91-263 910803 MULINIA LATERALIS                     3      7     2.33   2.08
VA91-263 910803 NEANTHES SUCCINEA                     3     13     4.33   4.16
VA91-263 910803 ODOSTOMIA ENGONIA                     3      8     2.67   0.58
VA91-263 910803 OGYRIDES ALPHAEROSTRIS                3      6     2.00   1.73
VA91-263 910803 OLIGOCHAETA                           3     12     4.00   1.73
VA91-263 910803 PARACAPRELLA TENUIS                   3     12     4.00   4.58
VA91-263 910803 PARAHESIONE LUTEOLA                   3      4     1.33   1.53
VA91-263 910803 PARAPRIONOSPIO PINNATA                3     21     7.00   2.65
VA91-263 910803 PHORONIS SPP.                         3      1     0.33   0.58
VA91-263 910803 PODARKEOPSIS LEVIFUSCINA              3      1     0.33   0.58
VA91-263 910803 PSEUDEURYTHOE PAUCIBRANCHIATA         3      4     1.33   1.53
VA91-263 910803 SABELLARIA VULGARIS                   3      2     0.67   1.15
VA91-263 910803 STREBLOSPIO BENEDICTI                 3      1     0.33   0.58
VA91-263 910803 VITRINELLIDAE                         3     10     3.33   4.93
VA91-265 910815 ACTEOCINA CANALICULATA                3     21     7.00   3.61
VA91-265 910815 ACTEON PUNCTOSTRIATUS                 3     12     4.00   1.73
VA91-265 910815 ANACHIS OBESA                         3     44    14.67  10.69
VA91-265 910815 ASYCHIS ELONGATA                      3      5     1.67   0.58
VA91-265 910815 BHAWANIA HETEROSETA                   3     34    11.33   4.16
VA91-265 910815 BIVALVIA: OTHER - UNIDENTIFIED        3      2     0.67   0.58
VA91-265 910815 CARAZZIELLA HOBSONAE                  3     24     8.00   3.46
VA91-265 910815 CHAETOPTERUS VARIOPEDATUS             3      1     0.33   0.58
VA91-265 910815 CIRRATULIDAE                          3     11     3.67   0.58
VA91-265 910815 CLYMENELLA TORQUATA                   3      9     3.00   1.00
VA91-265 910815 EUCERAMUS PRAELONGUS                  3      1     0.33   0.58
VA91-265 910815 EXOGONE DISPAR                        3      2     0.67   1.15
VA91-265 910815 GASTROPODA: OTHER                     3      7     2.33   1.53
VA91-265 910815 GLYCERA AMERICANA                     3      2     0.67   0.58
VA91-265 910815 GLYCINDE SOLITARIA                    3      3     1.00   1.00
VA91-265 910815 LEPIDAMETRIA COMMENSALIS              3      1     0.33   0.58
VA91-265 910815 LISTRIELLA BARNARDI                   3      1     0.33   0.58
VA91-265 910815 LISTRIELLA CLYMENELLAE                3      2     0.67   0.58
VA91-265 910815 LOIMIA MEDUSA                         3     32    10.67   4.93
VA91-265 910815 MACOMA BALTHICA                       3     17     5.67   7.37
VA91-265 910815 MACOMA TENTA                          3     15     5.00   3.00
VA91-265 910815 MACROCLYMENE ZONALIS                  3     20     6.67   3.79
VA91-265 910815 MALDANIDAE                            3      2     0.67   1.15
VA91-265 910815 MEDIOMASTUS AMBISETA                  3     46    15.33  10.97
VA91-265 910815 MYSELLA PLANULATA                     3      2     0.67   1.15
VA91-265 910815 NEMERTINEA                            3      6     2.00   2.65
VA91-265 910815 NEPHTYS CRYPTOMMA                     3      1     0.33   0.58
VA91-265 910815 NEPHTYS INCISA                        3     18     6.00   2.65
VA91-265 910815 NEREIS GRAYI                          3      1     0.33   0.58
VA91-265 910815 ODOSTOMIA ENGONIA                     3     34    11.33   4.93
VA91-265 910815 OLIGOCHAETA                           3      1     0.33   0.58
VA91-265 910815 ONUPHIDAE                             3      1     0.33   0.58
VA91-265 910815 OPHIUROIDEA                           3      4     1.33   1.53
VA91-265 910815 PARAPRIONOSPIO PINNATA                3     96    32.00   8.66
VA91-265 910815 PECTINARIA GOULDII                    3     15     5.00   7.00
VA91-265 910815 PHORONIS SPP.                         3      9     3.00   1.73
VA91-265 910815 PINNIXA SPP.                          3     16     5.33   3.06
VA91-265 910815 PODARKEOPSIS LEVIFUSCINA              3      2     0.67   1.15
VA91-265 910815 POLYNOIDAE                            3      1     0.33   0.58
VA91-265 910815 POLYONYX GIBBESI                      3      1     0.33   0.58
VA91-265 910815 PRIONOSPIO PERKINSI                   3     17     5.67   2.89
VA91-265 910815 PSEUDEURYTHOE PAUCIBRANCHIATA         3     12     4.00   6.08
VA91-265 910815 SACCOGLOSSUS KOWALEVSKII              3     13     4.33   2.31
VA91-265 910815 SCOLELEPIS BOUSFIELDI                 3      1     0.33   0.58
VA91-265 910815 SIGAMBRA TENTACULATA                  3     20     6.67   4.04
VA91-265 910815 SPIOCHAETOPTERUS COSTARUM             3      1     0.33   0.58
VA91-265 910815 TELLINIDAE                            3      2     0.67   1.15
VA91-265 910815 THARYX SP. A MORRIS                   3     11     3.67   3.06
VA91-265 910815 TURBONILLA INTERRUPTA                 3     13     4.33   4.51
VA91-265 910815 TURBONILLA SPP.                       3      2     0.67   1.15
VA91-265 910818 TURBELLARIA                           3      3     1.00   1.00
VA91-266 910817 ACTEOCINA CANALICULATA                3     34    11.33   4.04
VA91-266 910817 ACTEON PUNCTOSTRIATUS                 3     11     3.67   4.04
VA91-266 910817 ALIGENA ELEVATA                       3     12     4.00   3.61
VA91-266 910817 ANCISTROSYLLIS HARTMANAE              3      2     0.67   0.58
VA91-266 910817 ANOMIA SIMPLEX                        3      1     0.33   0.58
VA91-266 910817 ANTHOZOA                              3     11     3.67   3.06
VA91-266 910817 ASTYRIS LUNATA                        3      1     0.33   0.58
VA91-266 910817 Arabella iricolor-multidentata comple 3      1     0.33   0.58
VA91-266 910817 BALANUS SPP.                          3      1     0.33   0.58
VA91-266 910817 BHAWANIA HETEROSETA                   3      3     1.00   1.00
VA91-266 910817 CABIRA INCERTA                        3      1     0.33   0.58
VA91-266 910817 CLYMENELLA TORQUATA                   3     51    17.00   7.55
VA91-266 910817 CRATENA PILATA                        3      1     0.33   0.58
VA91-266 910817 DEMONAX MICROPHTHALMUS                3      9     3.00   5.20
VA91-266 910817 EPITONIUM RUPICOLA                    3      1     0.33   0.58
VA91-266 910817 ERICTHONIUS BRASILIENSIS              3      1     0.33   0.58
VA91-266 910817 EUPLEURA CAUDATA                      3      1     0.33   0.58
VA91-266 910817 FARGOA BUSHIANA                       3      2     0.67   1.15
VA91-266 910817 GLYCINDE SOLITARIA                    3      9     3.00   2.65
VA91-266 910817 HETEROMASTUS FILIFORMIS               3      8     2.67   3.06
VA91-266 910817 HEXAPANOPEUS ANGUSTIFRONS             3      1     0.33   0.58
VA91-266 910817 HYDROIDES DIANTHUS                    3      1     0.33   0.58
VA91-266 910817 LEITOSCOLOPLOS ROBUSTUS               3      9     3.00   2.65
VA91-266 910817 LEITOSCOLOPLOS SPP.                   3      7     2.33   2.08
VA91-266 910817 LEUCON AMERICANUS                     3      1     0.33   0.58
VA91-266 910817 LISTRIELLA BARNARDI                   3      7     2.33   4.04
VA91-266 910817 LISTRIELLA CLYMENELLAE                3     28     9.33   9.50
VA91-266 910817 LOIMIA MEDUSA                         3      7     2.33   1.53
VA91-266 910817 MEDIOMASTUS AMBISETA                  3    100    33.33   3.06
VA91-266 910817 MELINNA MACULATA                      3      2     0.67   0.58
VA91-266 910817 MERCENARIA MERCENARIA                 3      3     1.00   1.00
VA91-266 910817 MOLGULA MANHATTENSIS                  3      1     0.33   0.58
VA91-266 910817 MULINIA LATERALIS                     3      2     0.67   0.58
VA91-266 910817 NASSARIUS VIBEX                       3      5     1.67   1.53
VA91-266 910817 NEANTHES SUCCINEA                     3     16     5.33   4.93
VA91-266 910817 NEMERTINEA                            3      6     2.00   1.00
VA91-266 910817 ODOSTOMIA ENGONIA                     3     38    12.67  10.79
VA91-266 910817 OGYRIDES ALPHAEROSTRIS                3      1     0.33   0.58
VA91-266 910817 OLIGOCHAETA                           3      2     0.67   1.15
VA91-266 910817 PARACAPRELLA TENUIS                   3      2     0.67   1.15
VA91-266 910817 PARAPRIONOSPIO PINNATA                3    103    34.33   9.50
VA91-266 910817 PHORONIS SPP.                         3     50    16.67  13.80
VA91-266 910817 PODARKEOPSIS LEVIFUSCINA              3     14     4.67   0.58
VA91-266 910817 POLYDORA WEBSTERI                     3      2     0.67   1.15
VA91-266 910817 POLYNOIDAE                            3      1     0.33   0.58
VA91-266 910817 PRIONOSPIO PERKINSI                   3      2     0.67   0.58
VA91-266 910817 SACCOGLOSSUS KOWALEVSKII              3      8     2.67   1.15
VA91-266 910817 SIGAMBRA TENTACULATA                  3      1     0.33   0.58
VA91-266 910817 SPIOCHAETOPTERUS COSTARUM             3      3     1.00   1.00
VA91-266 910817 TAGELUS DIVISUS                       3      3     1.00   1.73
VA91-266 910817 TURBELLARIA                           3      3     1.00   1.00
VA91-266 910817 TURBONILLA INTERRUPTA                 3     11     3.67   1.15
VA91-266 910817 VITRINELLIDAE                         3      8     2.67   3.06
VA91-269 910804 CHIRONOMIDAE                          3      7     2.33   1.53
VA91-269 910804 COROPHIUM LACUSTRE                    3      1     0.33   0.58
VA91-269 910804 CYATHURA POLITA                       3      4     1.33   0.58
VA91-269 910804 HETEROMASTUS FILIFORMIS               3      2     0.67   0.58
VA91-269 910804 LEPTOCHEIRUS PLUMULOSUS               3     27     9.00   4.58
VA91-269 910804 MACOMA MITCHELLI                      3     63    21.00   3.46
VA91-269 910804 MARENZELLERIA VIRIDIS                 3      2     0.67   1.15
VA91-269 910804 MELITA NITIDA                         3      7     2.33   2.08
VA91-269 910804 NEANTHES SUCCINEA                     3      1     0.33   0.58
VA91-269 910804 NEMERTINEA                            3      3     1.00   0.00
VA91-269 910804 OLIGOCHAETA                           3     27     9.00   5.00
VA91-269 910804 RANGIA CUNEATA                        3      3     1.00   1.00
VA91-270 910817 ACTEOCINA CANALICULATA                3     30    10.00   2.65
VA91-270 910817 ACTEON PUNCTOSTRIATUS                 3      1     0.33   0.58
VA91-270 910817 AMPELISCA SPP.                        3      1     0.33   0.58
VA91-270 910817 ANACHIS OBESA                         3    136    45.33   8.74
VA91-270 910817 ANADARA TRANSVERSA                    3      5     1.67   1.53
VA91-270 910817 ANCISTROSYLLIS HARTMANAE              3     10     3.33   1.15
VA91-270 910817 ARABELLIDAE                           3      1     0.33   0.58
VA91-270 910817 ASCIDIACEA                            3     36    12.00  15.87
VA91-270 910817 ASTYRIS LUNATA                        3      4     1.33   1.53
VA91-270 910817 Ampelisca abdita-vadorum complex      3     14     4.67   3.21
VA91-270 910817 Arabella iricolor-multidentata comple 3      1     0.33   0.58
VA91-270 910817 BHAWANIA HETEROSETA                   3     22     7.33   6.11
VA91-270 910817 BIVALVIA: OTHER - UNIDENTIFIED        3      2     0.67   0.58
VA91-270 910817 BOONEA IMPRESSA                       3      2     0.67   0.58
VA91-270 910817 BRANCHIOSTOMA CARIBAEUM               3     59    19.67   2.31
VA91-270 910817 CABIRA INCERTA                        3      1     0.33   0.58
VA91-270 910817 CAPITELLIDAE                          3      1     0.33   0.58
VA91-270 910817 CARAZZIELLA HOBSONAE                  3      3     1.00   1.73
VA91-270 910817 CERAPUS TUBULARIS                     3      1     0.33   0.58
VA91-270 910817 COROPHIUM TUBERCULATUM                3     38    12.67   3.51
VA91-270 910817 CREPIDULA SPP.                        3      1     0.33   0.58
VA91-270 910817 CYATHURA BURBANCKI                    3      1     0.33   0.58
VA91-270 910817 Caecum regulare                       3     17     5.67   2.08
VA91-270 910817 Caecum sp. A Mountford                3     19     6.33   4.51
VA91-270 910817 Crepidula convexa-fornicata complex   3      3     1.00   1.73
VA91-270 910817 DEMONAX MICROPHTHALMUS                3      1     0.33   0.58
VA91-270 910817 DRILONEREIS LONGA                     3      1     0.33   0.58
VA91-270 910817 ERICTHONIUS BRASILIENSIS              3     16     5.33   1.53
VA91-270 910817 EUCERAMUS PRAELONGUS                  3      3     1.00   1.00
VA91-270 910817 EUMIDA SANGUINEA                      3      8     2.67   0.58
VA91-270 910817 EUPLEURA CAUDATA                      3      2     0.67   0.58
VA91-270 910817 GASTROPODA: OTHER                     3      1     0.33   0.58
VA91-270 910817 GLYCERA AMERICANA                     3      4     1.33   2.31
VA91-270 910817 GLYCERA SPP.                          3      2     0.67   1.15
VA91-270 910817 GLYCINDE SOLITARIA                    3      3     1.00   1.73
VA91-270 910817 Gastropoda sp. A Mountford            3      9     3.00   1.73
VA91-270 910817 HESIONIDAE                            3      2     0.67   0.58
VA91-270 910817 HETEROMASTUS FILIFORMIS               3      7     2.33   3.21
VA91-270 910817 HYDROIDES DIANTHUS                    3      7     2.33   3.21
VA91-270 910817 LEITOSCOLOPLOS SPP.                   3      2     0.67   1.15
VA91-270 910817 LEPIDONOTUS SUBLEVIS                  3      2     0.67   0.58
VA91-270 910817 LOIMIA MEDUSA                         3      2     0.67   1.15
VA91-270 910817 LUMBRINERIDAE                         3      1     0.33   0.58
VA91-270 910817 MARPHYSA SANGUINEA                    3      1     0.33   0.58
VA91-270 910817 MEDIOMASTUS AMBISETA                  3      7     2.33   1.53
VA91-270 910817 MELANELLA                             3     12     4.00   1.00
VA91-270 910817 MICROPHTHALMUS SIMILIS                3      1     0.33   0.58
VA91-270 910817 MOLGULA MANHATTENSIS                  3      3     1.00   1.00
VA91-270 910817 MULINIA LATERALIS                     3      1     0.33   0.58
VA91-270 910817 NEANTHES ARENACEODENTATA              3      1     0.33   0.58
VA91-270 910817 NEANTHES SUCCINEA                     3     50    16.67   8.33
VA91-270 910817 NEMERTINEA                            3     13     4.33   2.52
VA91-270 910817 ODOSTOMIA ENGONIA                     3      7     2.33   2.52
VA91-270 910817 OLIGOCHAETA                           3    164    54.67  19.86
VA91-270 910817 PARACAPRELLA TENUIS                   3      2     0.67   1.15
VA91-270 910817 PARVILUCINA MULTILINEATA              3     18     6.00   3.61
VA91-270 910817 PECTINARIA GOULDII                    3      2     0.67   0.58
VA91-270 910817 PENTAMERA PULCHERRIMA                 3     60    20.00   3.00
VA91-270 910817 PHORONIS SPP.                         3     50    16.67  10.07
VA91-270 910817 PINNIXA SPP.                          3      4     1.33   0.58
VA91-270 910817 PIONOSYLLIS                           3     35    11.67   1.53
VA91-270 910817 PIONOSYLLIS                           3      3     1.00   1.00
VA91-270 910817 PODARKE OBSCURA                       3      4     1.33   1.53
VA91-270 910817 PODARKEOPSIS LEVIFUSCINA              3     10     3.33   2.52
VA91-270 910817 POLYCIRRUS EXIMIUS                    3     51    17.00  13.00
VA91-270 910817 POLYCIRRUS SPP.                       3     23     7.67  13.28
VA91-270 910817 POLYDORA SOCIALIS                     3     15     5.00   5.57
VA91-270 910817 PRIONOSPIO PERKINSI                   3      1     0.33   0.58
VA91-270 910817 PSEUDEURYTHOE PAUCIBRANCHIATA         3     22     7.33   6.03
VA91-270 910817 Pagurus spp.                          3      1     0.33   0.58
