PUBLICATION_DATE,TAXA_ID,UID,SITE_ID,VISIT_NO,YEAR,DATE_COL,STUDY,PSTL_CODE,NCCA_REG,INDEX_AP,INDEX_NCCA15,IS_DISTINCT,TOTAL,TARGET_TAXON,APHIA_ID,ITISTSN,HABITAT,PHYLUM,CLASS,ORDER,FAMILY
4/27/2021,1001,177326,NCCA15-2703,1,2015,19-Aug-15,Estuarine,WA,West,,Y,Y,26,HETEROPHOXUS ELLISI,548940,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,PHOXOCEPHALIDAE
4/27/2021,1001,172847,NCCA15-2614,1,2015,16-Jul-15,Estuarine,CA,West,,Y,Y,9,HETEROPHOXUS ELLISI,548940,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,PHOXOCEPHALIDAE
4/27/2021,1001,1000120,NCCA15-2707,1,2015,5-Aug-15,Estuarine,WA,West,,Y,Y,1,HETEROPHOXUS ELLISI,548940,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,PHOXOCEPHALIDAE
4/27/2021,1001,170711,NCCA15-1090,1,2015,30-Jun-15,Estuarine,CA,West,,Y,Y,1,HETEROPHOXUS ELLISI,548940,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,PHOXOCEPHALIDAE
4/27/2021,1001,172307,NCCA15-2611,1,2015,14-Jul-15,Estuarine,CA,West,,Y,Y,7,HETEROPHOXUS ELLISI,548940,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,PHOXOCEPHALIDAE
4/27/2021,1001,175933,NCCA15-1095,1,2015,6-Aug-15,Estuarine,CA,West,,Y,Y,243,HETEROPHOXUS ELLISI,548940,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,PHOXOCEPHALIDAE
4/27/2021,1002,170190,NCCA15-1287,1,2015,28-Jun-15,Estuarine,WA,West,,Y,Y,1,HETEROPHOXUS OCULATUS,428665,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,PHOXOCEPHALIDAE
4/27/2021,1002,1000067,NCCA15-1280,1,2015,9-Jul-15,Estuarine,WA,West,,Y,Y,1,HETEROPHOXUS OCULATUS,428665,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,PHOXOCEPHALIDAE
4/27/2021,1003,177055,NCCA15-2636,1,2015,18-Aug-15,Estuarine,CA,West,,Y,Y,1,HETEROPODARKE HETEROMORPHA,328381,,EST,ANNELIDA,POLYCHAETA,PHYLLODOCIDA,HESIONIDAE
4/27/2021,1003,1000155,NCCA15-2666,1,2015,27-Aug-15,Estuarine,WA,West,,Y,Y,1,HETEROPODARKE HETEROMORPHA,328381,,EST,ANNELIDA,POLYCHAETA,PHYLLODOCIDA,HESIONIDAE
4/27/2021,1004,172848,NCCA15-2622,1,2015,16-Jul-15,Estuarine,CA,West,,Y,Y,4,HETEROSEROLIS CARINATA,260633,,EST,ARTHROPODA,MALACOSTRACA,ISOPODA,SEROLIDAE
4/27/2021,1004,172661,NCCA15-1096,1,2015,15-Jul-15,Estuarine,CA,West,,Y,Y,37,HETEROSEROLIS CARINATA,260633,,EST,ARTHROPODA,MALACOSTRACA,ISOPODA,SEROLIDAE
4/27/2021,1004,170710,NCCA15-1089,1,2015,30-Jun-15,Estuarine,CA,West,,Y,Y,2,HETEROSEROLIS CARINATA,260633,,EST,ARTHROPODA,MALACOSTRACA,ISOPODA,SEROLIDAE
4/27/2021,1004,172662,NCCA15-1097,1,2015,15-Jul-15,Estuarine,CA,West,,Y,Y,1,HETEROSEROLIS CARINATA,260633,,EST,ARTHROPODA,MALACOSTRACA,ISOPODA,SEROLIDAE
4/27/2021,1004,170711,NCCA15-1090,1,2015,30-Jun-15,Estuarine,CA,West,,Y,Y,5,HETEROSEROLIS CARINATA,260633,,EST,ARTHROPODA,MALACOSTRACA,ISOPODA,SEROLIDAE
4/27/2021,1004,172307,NCCA15-2611,1,2015,14-Jul-15,Estuarine,CA,West,,Y,Y,5,HETEROSEROLIS CARINATA,260633,,EST,ARTHROPODA,MALACOSTRACA,ISOPODA,SEROLIDAE
4/27/2021,1004,172845,NCCA15-1100,1,2015,16-Jul-15,Estuarine,CA,West,,Y,Y,2,HETEROSEROLIS CARINATA,260633,,EST,ARTHROPODA,MALACOSTRACA,ISOPODA,SEROLIDAE
4/27/2021,1005,177140,NCCA15-1683,2,2015,18-Aug-15,Estuarine,FL,Gulf,,N,Y,1,HETEROSEROLIS MGRAYI,260637,,EST,ARTHROPODA,MALACOSTRACA,ISOPODA,SEROLIDAE
4/27/2021,1008,181483,NCCA15-1546,2,2015,9-Sep-15,Estuarine,NJ,Northeast,,N,Y,1,HEXAGENIA,593171,101537,EST,ARTHROPODA,INSECTA,EPHEMEROPTERA,EPHEMERIDAE
4/27/2021,1008,178530,NCCA15-1499,2,2015,17-Aug-15,Estuarine,VA,Northeast,,N,Y,1,HEXAGENIA,593171,101537,EST,ARTHROPODA,INSECTA,EPHEMEROPTERA,EPHEMERIDAE
4/27/2021,1008,171970,NCCA15-1499,1,2015,1-Jul-15,Estuarine,VA,Northeast,,Y,Y,34,HEXAGENIA,593171,101537,EST,ARTHROPODA,INSECTA,EPHEMEROPTERA,EPHEMERIDAE
4/27/2021,101,170213,NCCA15-1157,1,2015,28-Jun-15,Estuarine,NC,Southeast,Y,Y,Y,1,AMEROCULODES MILTONI,395434,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE
4/27/2021,101,172305,NCCA15-2476,1,2015,14-Jul-15,Estuarine,LA,Gulf,,Y,Y,3,AMEROCULODES MILTONI,395434,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE
4/27/2021,101,173563,NCCA15-2573,1,2015,22-Jul-15,Estuarine,LA,Gulf,,Y,Y,2,AMEROCULODES MILTONI,395434,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE
4/27/2021,101,169671,NCCA15-1391,1,2015,23-Jun-15,Estuarine,TX,Gulf,,Y,Y,2,AMEROCULODES MILTONI,395434,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE
4/27/2021,101,178047,NCCA15-1444,2,2015,24-Aug-15,Estuarine,LA,Gulf,,N,Y,3,AMEROCULODES MILTONI,395434,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE
4/27/2021,101,168141,NCCA15-2441,1,2015,10-Jun-15,Estuarine,LA,Gulf,,Y,Y,1,AMEROCULODES MILTONI,395434,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE
4/27/2021,101,168431,NCCA15-1554,1,2015,11-Jun-15,Estuarine,DE,Northeast,,Y,Y,6,AMEROCULODES MILTONI,395434,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE
4/27/2021,101,173182,NCCA15-1444,1,2015,20-Jul-15,Estuarine,LA,Gulf,,Y,Y,9,AMEROCULODES MILTONI,395434,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE
4/27/2021,101,179161,NCCA15-1487,2,2015,26-Aug-15,Estuarine,LA,Gulf,,N,Y,1,AMEROCULODES MILTONI,395434,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE
4/27/2021,101,169191,NCCA15-2442,1,2015,18-Jun-15,Estuarine,LA,Gulf,,Y,Y,3,AMEROCULODES MILTONI,395434,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE
4/27/2021,101,170570,NCCA15-1557,1,2015,1-Jul-15,Estuarine,NJ,Northeast,,Y,Y,1,AMEROCULODES MILTONI,395434,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE
4/27/2021,101,170371,NCCA15-2252,1,2015,29-Jun-15,Estuarine,NC,Southeast,Y,Y,Y,5,AMEROCULODES MILTONI,395434,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE
4/27/2021,1011,182077,NCCA15-2266,1,2015,11-Sep-15,Albemarle_Pamlico,NC,Southeast,Y,,Y,29,HEXAGENIA LIMBATA,,101552,EST,ARTHROPODA,INSECTA,EPHEMEROPTERA,EPHEMERIDAE
4/27/2021,1011,182076,NCCA15-2264,1,2015,11-Sep-15,Albemarle_Pamlico,NC,Southeast,Y,,Y,41,HEXAGENIA LIMBATA,,101552,EST,ARTHROPODA,INSECTA,EPHEMEROPTERA,EPHEMERIDAE
4/27/2021,1011,181022,NCCA15-1148,1,2015,4-Sep-15,Estuarine,NC,Southeast,Y,Y,Y,25,HEXAGENIA LIMBATA,,101552,EST,ARTHROPODA,INSECTA,EPHEMEROPTERA,EPHEMERIDAE
4/27/2021,1013,174473,NCCA15-2367,1,2015,27-Jul-15,Estuarine,FL,Gulf,,Y,Y,4,HEXAPANOPEUS ANGUSTIFRONS,158424,,EST,ARTHROPODA,MALACOSTRACA,DECAPODA,PANOPEIDAE
4/27/2021,1013,1000084,NCCA15-2110,1,2015,22-Jul-15,Estuarine,NY,Northeast,,Y,Y,3,HEXAPANOPEUS ANGUSTIFRONS,158424,,EST,ARTHROPODA,MALACOSTRACA,DECAPODA,PANOPEIDAE
4/27/2021,1013,1000085,NCCA15-2114,1,2015,22-Jul-15,Estuarine,NY,Northeast,,Y,Y,1,HEXAPANOPEUS ANGUSTIFRONS,158424,,EST,ARTHROPODA,MALACOSTRACA,DECAPODA,PANOPEIDAE
4/27/2021,1013,170938,NCCA15-1179,1,2015,1-Jul-15,Estuarine,FL,Southeast,,Y,Y,4,HEXAPANOPEUS ANGUSTIFRONS,158424,,EST,ARTHROPODA,MALACOSTRACA,DECAPODA,PANOPEIDAE
4/27/2021,1014,168830,NCCA15-1015,1,2015,16-Jun-15,Estuarine,ME,Northeast,,Y,Y,2,HIATELLA ARCTICA,140103,,EST,MOLLUSCA,BIVALVIA,ADAPEDONTA,HIATELLIDAE
4/27/2021,1014,172945,MACA15-3008,1,2015,17-Jul-15,Estuarine,MA,Northeast,,Y,Y,1,HIATELLA ARCTICA,140103,,EST,MOLLUSCA,BIVALVIA,ADAPEDONTA,HIATELLIDAE
4/27/2021,1014,1000067,NCCA15-1280,1,2015,9-Jul-15,Estuarine,WA,West,,Y,Y,4,HIATELLA ARCTICA,140103,,EST,MOLLUSCA,BIVALVIA,ADAPEDONTA,HIATELLIDAE
4/27/2021,1014,173228,SCCA15-5367,1,2015,20-Jul-15,Estuarine,SC,Southeast,,Y,Y,15,HIATELLA ARCTICA,140103,,EST,MOLLUSCA,BIVALVIA,ADAPEDONTA,HIATELLIDAE
4/27/2021,1014,171684,MACA15-3052,1,2015,9-Jul-15,Estuarine,MA,Northeast,,Y,Y,1,HIATELLA ARCTICA,140103,,EST,MOLLUSCA,BIVALVIA,ADAPEDONTA,HIATELLIDAE
4/27/2021,1014,173306,NCCA15-1082,1,2015,21-Jul-15,Estuarine,ME,Northeast,,Y,Y,1,HIATELLA ARCTICA,140103,,EST,MOLLUSCA,BIVALVIA,ADAPEDONTA,HIATELLIDAE
4/27/2021,1014,173511,NCCA15-1079,1,2015,22-Jul-15,Estuarine,ME,Northeast,,Y,Y,4,HIATELLA ARCTICA,140103,,EST,MOLLUSCA,BIVALVIA,ADAPEDONTA,HIATELLIDAE
4/27/2021,1014,175043,MACA15-3073,1,2015,16-Sep-15,Estuarine,MA,Northeast,,Y,Y,1,HIATELLA ARCTICA,140103,,EST,MOLLUSCA,BIVALVIA,ADAPEDONTA,HIATELLIDAE
4/27/2021,1014,178493,NCCA15-1013,2,2015,26-Aug-15,Estuarine,ME,Northeast,,N,Y,1,HIATELLA ARCTICA,140103,,EST,MOLLUSCA,BIVALVIA,ADAPEDONTA,HIATELLIDAE
4/27/2021,1014,174951,NCCA15-2401,1,2015,30-Jul-15,Estuarine,FL,Gulf,,Y,Y,11,HIATELLA ARCTICA,140103,,EST,MOLLUSCA,BIVALVIA,ADAPEDONTA,HIATELLIDAE
4/27/2021,1014,176913,SCCA15-5089,1,2015,17-Aug-15,Estuarine,SC,Southeast,,Y,Y,2,HIATELLA ARCTICA,140103,,EST,MOLLUSCA,BIVALVIA,ADAPEDONTA,HIATELLIDAE
4/27/2021,1014,1000100,NCCA15-1286,1,2015,28-Jul-15,Estuarine,WA,West,,Y,Y,1,HIATELLA ARCTICA,140103,,EST,MOLLUSCA,BIVALVIA,ADAPEDONTA,HIATELLIDAE
4/27/2021,1014,172862,NCCA15-2070,1,2015,16-Jul-15,Estuarine,ME,Northeast,,Y,Y,14,HIATELLA ARCTICA,140103,,EST,MOLLUSCA,BIVALVIA,ADAPEDONTA,HIATELLIDAE
4/27/2021,1014,169110,NCCA15-1016,1,2015,17-Jun-15,Estuarine,ME,Northeast,,Y,Y,1,HIATELLA ARCTICA,140103,,EST,MOLLUSCA,BIVALVIA,ADAPEDONTA,HIATELLIDAE
4/27/2021,1014,169100,NCCA15-2044,1,2015,17-Jun-15,Estuarine,ME,Northeast,,Y,Y,2,HIATELLA ARCTICA,140103,,EST,MOLLUSCA,BIVALVIA,ADAPEDONTA,HIATELLIDAE
4/27/2021,1014,173764,SCCA15-5368,1,2015,23-Jul-15,Estuarine,SC,Southeast,,Y,Y,1,HIATELLA ARCTICA,140103,,EST,MOLLUSCA,BIVALVIA,ADAPEDONTA,HIATELLIDAE
4/27/2021,1014,172302,NCCA15-1037,2,2015,14-Jul-15,Estuarine,NH,Northeast,,N,Y,1,HIATELLA ARCTICA,140103,,EST,MOLLUSCA,BIVALVIA,ADAPEDONTA,HIATELLIDAE
4/27/2021,1014,171521,NCCA15-1017,1,2015,8-Jul-15,Estuarine,ME,Northeast,,Y,Y,2,HIATELLA ARCTICA,140103,,EST,MOLLUSCA,BIVALVIA,ADAPEDONTA,HIATELLIDAE
4/27/2021,1014,168680,NCCA15-2046,1,2015,15-Jun-15,Estuarine,ME,Northeast,,Y,Y,1,HIATELLA ARCTICA,140103,,EST,MOLLUSCA,BIVALVIA,ADAPEDONTA,HIATELLIDAE
4/27/2021,1014,173753,NCCA15-2069,1,2015,23-Jul-15,Estuarine,ME,Northeast,,Y,Y,8,HIATELLA ARCTICA,140103,,EST,MOLLUSCA,BIVALVIA,ADAPEDONTA,HIATELLIDAE
4/27/2021,1014,172951,NCCA15-1206,1,2015,17-Jul-15,Estuarine,SC,Southeast,,Y,Y,11,HIATELLA ARCTICA,140103,,EST,MOLLUSCA,BIVALVIA,ADAPEDONTA,HIATELLIDAE
4/27/2021,1014,173762,NCCA15-1215,1,2015,24-Jul-15,Estuarine,SC,Southeast,,Y,Y,13,HIATELLA ARCTICA,140103,,EST,MOLLUSCA,BIVALVIA,ADAPEDONTA,HIATELLIDAE
4/27/2021,1014,168831,NCCA15-2047,1,2015,16-Jun-15,Estuarine,ME,Northeast,,Y,Y,1,HIATELLA ARCTICA,140103,,EST,MOLLUSCA,BIVALVIA,ADAPEDONTA,HIATELLIDAE
4/27/2021,1015,172847,NCCA15-2614,1,2015,16-Jul-15,Estuarine,CA,West,,Y,Y,1,HIPPOLYTE CALIFORNIENSIS,515276,,EST,ARTHROPODA,MALACOSTRACA,DECAPODA,HIPPOLYTIDAE
4/27/2021,1016,171702,NCCA15-2317,1,2015,8-Jul-15,Estuarine,FL,Southeast,,Y,Y,1,HIPPOLYTE PLEURACANTHA,158360,,EST,ARTHROPODA,MALACOSTRACA,DECAPODA,HIPPOLYTIDAE
4/27/2021,1017,175741,NCCA15-1667,1,2015,5-Aug-15,Estuarine,FL,Gulf,,Y,Y,1,HIPPOLYTE ZOSTERICOLA,158361,,EST,ARTHROPODA,MALACOSTRACA,DECAPODA,HIPPOLYTIDAE
4/27/2021,1017,171702,NCCA15-2317,1,2015,8-Jul-15,Estuarine,FL,Southeast,,Y,Y,1,HIPPOLYTE ZOSTERICOLA,158361,,EST,ARTHROPODA,MALACOSTRACA,DECAPODA,HIPPOLYTIDAE
4/27/2021,1017,180362,NCCA15-1440,1,2015,3-Sep-15,Estuarine,FL,Gulf,,Y,Y,2,HIPPOLYTE ZOSTERICOLA,158361,,EST,ARTHROPODA,MALACOSTRACA,DECAPODA,HIPPOLYTIDAE
4/27/2021,1018,171883,NCCA15-1283,1,2015,12-Jul-15,Estuarine,WA,West,,Y,Y,1,HIPPOLYTIDAE,106777,,EST,ARTHROPODA,MALACOSTRACA,DECAPODA,HIPPOLYTIDAE
4/27/2021,1018,170200,NCCA15-2705,1,2015,26-Jun-15,Estuarine,WA,West,,Y,Y,2,HIPPOLYTIDAE,106777,,EST,ARTHROPODA,MALACOSTRACA,DECAPODA,HIPPOLYTIDAE
4/27/2021,1018,178784,MACA15-3087,1,2015,26-Aug-15,Estuarine,MA,Northeast,,Y,Y,1,HIPPOLYTIDAE,106777,,EST,ARTHROPODA,MALACOSTRACA,DECAPODA,HIPPOLYTIDAE
4/27/2021,1019,1000120,NCCA15-2707,1,2015,5-Aug-15,Estuarine,WA,West,,Y,Y,2,HIPPOMEDON,101610,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,TRYPHOSIDAE
4/27/2021,1019,175044,MACA15-3076,1,2015,7-Aug-15,Estuarine,MA,Northeast,,Y,Y,11,HIPPOMEDON,101610,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,TRYPHOSIDAE
4/27/2021,102,171703,NCCA15-2322,1,2015,8-Jul-15,Estuarine,FL,Southeast,,Y,Y,3,AMERYCINA PERISCOPIANA,876578,,EST,MOLLUSCA,BIVALVIA,,LASAEIDAE
4/27/2021,102,174682,NCCA15-1370,2,2015,30-Jul-15,Estuarine,TX,Gulf,,N,Y,2,AMERYCINA PERISCOPIANA,876578,,EST,MOLLUSCA,BIVALVIA,,LASAEIDAE
4/27/2021,102,174684,NCCA15-2533,1,2015,30-Jul-15,Estuarine,TX,Gulf,,Y,Y,2,AMERYCINA PERISCOPIANA,876578,,EST,MOLLUSCA,BIVALVIA,,LASAEIDAE
4/27/2021,102,170843,NCCA15-2387,1,2015,1-Jul-15,Estuarine,FL,Gulf,,Y,Y,23,AMERYCINA PERISCOPIANA,876578,,EST,MOLLUSCA,BIVALVIA,,LASAEIDAE
4/27/2021,102,171481,NCCA15-2384,1,2015,7-Jul-15,Estuarine,FL,Gulf,,Y,Y,1,AMERYCINA PERISCOPIANA,876578,,EST,MOLLUSCA,BIVALVIA,,LASAEIDAE
4/27/2021,102,185012,NCCA15-2494,1,2015,25-Sep-15,Estuarine,MS,Gulf,,Y,Y,1,AMERYCINA PERISCOPIANA,876578,,EST,MOLLUSCA,BIVALVIA,,LASAEIDAE
4/27/2021,102,174685,NCCA15-2538,1,2015,30-Jul-15,Estuarine,TX,Gulf,,Y,Y,3,AMERYCINA PERISCOPIANA,876578,,EST,MOLLUSCA,BIVALVIA,,LASAEIDAE
4/27/2021,102,170530,NCCA15-2477,1,2015,30-Jun-15,Estuarine,LA,Gulf,,Y,Y,7,AMERYCINA PERISCOPIANA,876578,,EST,MOLLUSCA,BIVALVIA,,LASAEIDAE
4/27/2021,102,171180,NCCA15-1373,1,2015,7-Jul-15,Estuarine,TX,Gulf,,Y,Y,2,AMERYCINA PERISCOPIANA,876578,,EST,MOLLUSCA,BIVALVIA,,LASAEIDAE
4/27/2021,102,185050,NCCA15-2432,1,2015,27-Sep-15,Estuarine,MS,Gulf,,Y,Y,3,AMERYCINA PERISCOPIANA,876578,,EST,MOLLUSCA,BIVALVIA,,LASAEIDAE
4/27/2021,102,171480,NCCA15-1311,1,2015,7-Jul-15,Estuarine,FL,Gulf,,Y,Y,6,AMERYCINA PERISCOPIANA,876578,,EST,MOLLUSCA,BIVALVIA,,LASAEIDAE
4/27/2021,102,172664,SCCA15-5366,1,2015,15-Jul-15,Estuarine,SC,Southeast,,Y,Y,2,AMERYCINA PERISCOPIANA,876578,,EST,MOLLUSCA,BIVALVIA,,LASAEIDAE
4/27/2021,102,171772,NCCA15-2398,1,2015,9-Jul-15,Estuarine,FL,Gulf,,Y,Y,4,AMERYCINA PERISCOPIANA,876578,,EST,MOLLUSCA,BIVALVIA,,LASAEIDAE
4/27/2021,102,172410,NCCA15-1375,1,2015,15-Jul-15,Estuarine,TX,Gulf,,Y,Y,1,AMERYCINA PERISCOPIANA,876578,,EST,MOLLUSCA,BIVALVIA,,LASAEIDAE
4/27/2021,1020,177121,NCCA15-2053,1,2015,19-Aug-15,Estuarine,ME,Northeast,,Y,Y,2,HIPPOMEDON SERRATUS,158102,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,TRYPHOSIDAE
4/27/2021,1021,180233,NCCA15-2187,1,2015,1-Sep-15,Estuarine,MD,Northeast,,Y,Y,3,HIRUDINEA,2041,,EST,ANNELIDA,CLITELLATA,,
4/27/2021,1023,173563,NCCA15-2573,1,2015,22-Jul-15,Estuarine,LA,Gulf,,Y,Y,1,HOBSONIA FLORIDA,333624,,EST,ANNELIDA,POLYCHAETA,TEREBELLIDA,AMPHARETIDAE
4/27/2021,1023,177143,NCCA15-2586,1,2015,19-Aug-15,Estuarine,TX,Gulf,,Y,Y,10,HOBSONIA FLORIDA,333624,,EST,ANNELIDA,POLYCHAETA,TEREBELLIDA,AMPHARETIDAE
4/27/2021,1023,173215,NCCA15-1152,1,2015,20-Jul-15,Estuarine,NC,Southeast,Y,Y,Y,4,HOBSONIA FLORIDA,333624,,EST,ANNELIDA,POLYCHAETA,TEREBELLIDA,AMPHARETIDAE
4/27/2021,1023,179694,NCCA15-2516,1,2015,1-Sep-15,Estuarine,LA,Gulf,,Y,Y,2,HOBSONIA FLORIDA,333624,,EST,ANNELIDA,POLYCHAETA,TEREBELLIDA,AMPHARETIDAE
4/27/2021,1023,171184,NCCA15-1423,1,2015,7-Jul-15,Estuarine,AL,Gulf,,Y,Y,3,HOBSONIA FLORIDA,333624,,EST,ANNELIDA,POLYCHAETA,TEREBELLIDA,AMPHARETIDAE
4/27/2021,1023,171183,NCCA15-1040,1,2015,7-Jul-15,Estuarine,NH,Northeast,,Y,Y,2,HOBSONIA FLORIDA,333624,,EST,ANNELIDA,POLYCHAETA,TEREBELLIDA,AMPHARETIDAE
4/27/2021,1023,167940,NCCA15-1371,1,2015,9-Jun-15,Estuarine,TX,Gulf,,Y,Y,1,HOBSONIA FLORIDA,333624,,EST,ANNELIDA,POLYCHAETA,TEREBELLIDA,AMPHARETIDAE
4/27/2021,1023,170270,NCCA15-2081,1,2015,29-Jun-15,Estuarine,NH,Northeast,,Y,Y,1,HOBSONIA FLORIDA,333624,,EST,ANNELIDA,POLYCHAETA,TEREBELLIDA,AMPHARETIDAE
4/27/2021,1023,168200,NCCA15-2645,1,2015,10-Jun-15,Estuarine,OR,West,,Y,Y,60,HOBSONIA FLORIDA,333624,,EST,ANNELIDA,POLYCHAETA,TEREBELLIDA,AMPHARETIDAE
4/27/2021,1023,170371,NCCA15-2252,1,2015,29-Jun-15,Estuarine,NC,Southeast,Y,Y,Y,4,HOBSONIA FLORIDA,333624,,EST,ANNELIDA,POLYCHAETA,TEREBELLIDA,AMPHARETIDAE
4/27/2021,1023,169930,NCCA15-2253,1,2015,25-Jun-15,Estuarine,NC,Southeast,Y,Y,Y,1,HOBSONIA FLORIDA,333624,,EST,ANNELIDA,POLYCHAETA,TEREBELLIDA,AMPHARETIDAE
4/27/2021,1023,173893,NCCA15-2459,1,2015,26-Jul-15,Estuarine,LA,Gulf,,Y,Y,8,HOBSONIA FLORIDA,333624,,EST,ANNELIDA,POLYCHAETA,TEREBELLIDA,AMPHARETIDAE
4/27/2021,1023,169045,NCCA15-1042,1,2015,17-Jun-15,Estuarine,NH,Northeast,,Y,Y,993,HOBSONIA FLORIDA,333624,,EST,ANNELIDA,POLYCHAETA,TEREBELLIDA,AMPHARETIDAE
4/27/2021,1023,178992,NCCA15-2575,1,2015,27-Aug-15,Estuarine,TX,Gulf,,Y,Y,2,HOBSONIA FLORIDA,333624,,EST,ANNELIDA,POLYCHAETA,TEREBELLIDA,AMPHARETIDAE
4/27/2021,1023,167520,NCCA15-2433,1,2015,4-Jun-15,Estuarine,LA,Gulf,,Y,Y,2,HOBSONIA FLORIDA,333624,,EST,ANNELIDA,POLYCHAETA,TEREBELLIDA,AMPHARETIDAE
