"UID","SITE_ID","STATE","ALAT_DD","ALON_DD","DATE_COL","SCREENSIZE","TAXON_ORIGINAL","TAXON_CORRECTED","TOTAL","ADULT","CONDITION","DISTINCT","FLAGGED","IMMATURE","INDETERMINATE","LAB_TIN","LARVAE","NUM_AGGREGATED","PUPAE","QA_CODE","QA_COMMENTS","SAMPLE_ID","WORMS_STATUS","WORMS_APHIAID","ITIS_STATUS","ITIS_TSN","LPIL","PHYLUM","CLASS","ORDER","FAMILY","GENUS","GRAB_TYPE","Grab_Area.m.2.","Number.of.grabs","Final_Grab_Area.m.2.","Grab_Depth.cm.","Sieve_Size.mm.2.","Grab_QA","Grab_Comment"
1035,"NCCAGL10-GLBA10-169","NY",42.88987,-78.8943,"7/14/2010",0.5,"Limnodrilus udekemianus","Limnodrilus udekemianus",1,NA,"N","Y","","N","N","23",NA,0,NA,"","",563934,"accepted",157593,"",68644,"S","Annelida","Clitellata","Haplotaxida","Tubificidae","Limnodrilus","STANDARD PONAR","0.052","1","0.052","13","0.5","Q18",""
1035,"NCCAGL10-GLBA10-169","NY",42.88987,-78.8943,"7/14/2010",0.5,"Limnodrilus hoffmeisteri","Limnodrilus hoffmeisteri",10,NA,"N","Y","","N","N","21",NA,0,NA,"","",563934,"accepted",137556,"",68639,"S","Annelida","Clitellata","Haplotaxida","Tubificidae","Limnodrilus","STANDARD PONAR","0.052","1","0.052","13","0.5","Q18",""
1035,"NCCAGL10-GLBA10-169","NY",42.88987,-78.8943,"7/14/2010",0.5,"Tribelos jucundum","Tribelos jucundus",1,NA,"N","Y","","N","N","998",NA,0,NA,"","",563934,"",NA,"",129827,"S","Arthropoda","Insecta","Diptera","Chironomidae","Tribelos","STANDARD PONAR","0.052","1","0.052","13","0.5","Q18",""
1035,"NCCAGL10-GLBA10-169","NY",42.88987,-78.8943,"7/14/2010",0.5,"Cryptotendipes sp.","Cryptotendipes",30,NA,"N","Y","","N","N","938",NA,0,NA,"","",563934,"",NA,"",129394,"G","Arthropoda","Insecta","Diptera","Chironomidae","Cryptotendipes","STANDARD PONAR","0.052","1","0.052","13","0.5","Q18",""
1035,"NCCAGL10-GLBA10-169","NY",42.88987,-78.8943,"7/14/2010",0.5,"Limnodrilus claparedeianus","Limnodrilus claparedianus",16,NA,"N","Y","","N","N","20",NA,0,NA,"","",563934,"",NA,"",68654,"S","Annelida","Clitellata","Haplotaxida","Tubificidae","Limnodrilus","STANDARD PONAR","0.052","1","0.052","13","0.5","Q18",""
1035,"NCCAGL10-GLBA10-169","NY",42.88987,-78.8943,"7/14/2010",0.5,"Microchironomus sp.","Microchironomus",14,NA,"N","Y","","N","N","954",NA,0,NA,"","",563934,"",NA,"",129532,"G","Arthropoda","Insecta","Diptera","Chironomidae","Microchironomus","STANDARD PONAR","0.052","1","0.052","13","0.5","Q18",""
1035,"NCCAGL10-GLBA10-169","NY",42.88987,-78.8943,"7/14/2010",0.5,"Limnodrilus cervix","Limnodrilus cervix",41,NA,"N","Y","","N","N","19",NA,0,NA,"","",563934,"accepted",157591,"",68652,"S","Annelida","Clitellata","Haplotaxida","Tubificidae","Limnodrilus","STANDARD PONAR","0.052","1","0.052","13","0.5","Q18",""
1035,"NCCAGL10-GLBA10-169","NY",42.88987,-78.8943,"7/14/2010",0.5,"Pisidium sp.","Pisidium",8,NA,"N","Y","","N","N","103",NA,0,NA,"","",563934,"accepted",181554,"",81400,"G","Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium","STANDARD PONAR","0.052","1","0.052","13","0.5","Q18",""
1035,"NCCAGL10-GLBA10-169","NY",42.88987,-78.8943,"7/14/2010",0.5,"Aulodrilus limnobius","Aulodrilus limnobius",32,NA,"N","Y","","N","N","12",NA,0,NA,"","",563934,"",NA,"",68682,"S","Annelida","Clitellata","Haplotaxida","Tubificidae","Aulodrilus","STANDARD PONAR","0.052","1","0.052","13","0.5","Q18",""
1035,"NCCAGL10-GLBA10-169","NY",42.88987,-78.8943,"7/14/2010",0.5,"Nematoda","Nematoda",1,NA,"N","Y","","N","N","67",NA,0,NA,"","",563934,"accepted",799,"",59490,"P","Nematoda","","","","","STANDARD PONAR","0.052","1","0.052","13","0.5","Q18",""
1035,"NCCAGL10-GLBA10-169","NY",42.88987,-78.8943,"7/14/2010",0.5,"Procladius sp.","Procladius",47,NA,"N","Y","","N","N","799",NA,0,NA,"","",563934,"accepted",156905,"",128277,"G","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","STANDARD PONAR","0.052","1","0.052","13","0.5","Q18",""
1035,"NCCAGL10-GLBA10-169","NY",42.88987,-78.8943,"7/14/2010",0.5,"Dreissena sp.","Dreissena",1,NA,"N","Y","","Y","N","2678",NA,0,NA,"","",563934,"accepted",181565,"",81338,"G","Mollusca","Bivalvia","Veneroida","Dreissenidae","Dreissena","STANDARD PONAR","0.052","1","0.052","13","0.5","Q18",""
1035,"NCCAGL10-GLBA10-169","NY",42.88987,-78.8943,"7/14/2010",0.5,"Tubificidae w/o cap setae","Tubificidae",365,NA,"N","N","","N","N","1348",NA,0,NA,"","",563934,"accepted",2040,"",68585,"F","Annelida","Clitellata","Haplotaxida","Tubificidae","","STANDARD PONAR","0.052","1","0.052","13","0.5","Q18",""
1035,"NCCAGL10-GLBA10-169","NY",42.88987,-78.8943,"7/14/2010",0.5,"Hydrobiidae","Hydrobiidae",24,NA,"N","Y","","Y","Y","80",NA,0,NA,"","",563934,"accepted",120,"",70493,"F","Mollusca","Gastropoda","Neotaenioglossa","Hydrobiidae","","STANDARD PONAR","0.052","1","0.052","13","0.5","Q18",""
1035,"NCCAGL10-GLBA10-169","NY",42.88987,-78.8943,"7/14/2010",0.5,"Aulodrilus pluriseta","Aulodrilus pluriseta",48,NA,"N","Y","","N","N","14",NA,0,NA,"","",563934,"",NA,"",68684,"S","Annelida","Clitellata","Haplotaxida","Tubificidae","Aulodrilus","STANDARD PONAR","0.052","1","0.052","13","0.5","Q18",""
1035,"NCCAGL10-GLBA10-169","NY",42.88987,-78.8943,"7/14/2010",0.5,"Chironomus sp.","Chironomus",4,NA,"N","Y","","N","N","930",NA,0,NA,"","",563934,"accepted",146802,"",129254,"G","Arthropoda","Insecta","Diptera","Chironomidae","Chironomus","STANDARD PONAR","0.052","1","0.052","13","0.5","Q18",""
1038,"NCCAGL10-GLBA10-160","NY",42.86679,-78.8867,"7/13/2010",0.5,"Cryptochironomus sp.","Cryptochironomus",1,NA,"N","Y","","N","N","934",NA,0,NA,"","",564264,"accepted",181574,"",129368,"G","Arthropoda","Insecta","Diptera","Chironomidae","Cryptochironomus","STANDARD PONAR","0.052","1","0.052","12","0.5","Q18",""
1038,"NCCAGL10-GLBA10-160","NY",42.86679,-78.8867,"7/13/2010",0.5,"Microtendipes pedellus gr.","Microtendipes pedellus",1,NA,"N","Y","","N","N","956",NA,0,NA,"","",564264,"",NA,"",129541,"S","Arthropoda","Insecta","Diptera","Chironomidae","Microtendipes","STANDARD PONAR","0.052","1","0.052","12","0.5","Q18",""
1038,"NCCAGL10-GLBA10-160","NY",42.86679,-78.8867,"7/13/2010",0.5,"Erpobdella sp.","Erpobdella",43,NA,"N","Y","","N","N","2377",NA,0,NA,"","",564264,"accepted",160006,"",69444,"G","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae","Erpobdella","STANDARD PONAR","0.052","1","0.052","12","0.5","Q18",""
1038,"NCCAGL10-GLBA10-160","NY",42.86679,-78.8867,"7/13/2010",0.5,"Echinogammarus ischnus","Echinogammarus ischnus",81,NA,"N","Y","","N","N","5684",NA,0,NA,"","",564264,"accepted",490104,"",656834,"S","Arthropoda","Malacostraca","Amphipoda","Gammaridae","Echinogammarus","STANDARD PONAR","0.052","1","0.052","12","0.5","Q18",""
1038,"NCCAGL10-GLBA10-160","NY",42.86679,-78.8867,"7/13/2010",0.5,"Physa sp.","Physa",4,NA,"N","Y","","N","N","93",NA,0,NA,"","",564264,"accepted",181551,"",76677,"G","Mollusca","Gastropoda","Basommatophora","Physidae","Physa","STANDARD PONAR","0.052","1","0.052","12","0.5","Q18",""
1038,"NCCAGL10-GLBA10-160","NY",42.86679,-78.8867,"7/13/2010",0.5,"Tubificidae w/o cap setae","Tubificidae",207,NA,"N","N","","N","N","1348",NA,0,NA,"","",564264,"accepted",2040,"",68585,"F","Annelida","Clitellata","Haplotaxida","Tubificidae","","STANDARD PONAR","0.052","1","0.052","12","0.5","Q18",""
1038,"NCCAGL10-GLBA10-160","NY",42.86679,-78.8867,"7/13/2010",0.5,"Hirudinida","Hirudinidae",1,NA,"N","Y","","N","N","1047",NA,0,NA,"","",564264,"accepted",160020,"",69407,"F","Annelida","Clitellata","Arhynchobdellida","Hirudinidae","","STANDARD PONAR","0.052","1","0.052","12","0.5","Q18",""
1038,"NCCAGL10-GLBA10-160","NY",42.86679,-78.8867,"7/13/2010",0.5,"Amnicola sp.","Amnicola",35,NA,"N","Y","","N","N","81",NA,0,NA,"","",564264,"accepted",159972,"",70747,"G","Mollusca","Gastropoda","Neotaenioglossa","Hydrobiidae","Amnicola","STANDARD PONAR","0.052","1","0.052","12","0.5","Q18",""
1038,"NCCAGL10-GLBA10-160","NY",42.86679,-78.8867,"7/13/2010",0.5,"Limnodrilus cervix","Limnodrilus cervix",3,NA,"N","Y","","N","N","19",NA,0,NA,"","",564264,"accepted",157591,"",68652,"S","Annelida","Clitellata","Haplotaxida","Tubificidae","Limnodrilus","STANDARD PONAR","0.052","1","0.052","12","0.5","Q18",""
1038,"NCCAGL10-GLBA10-160","NY",42.86679,-78.8867,"7/13/2010",0.5,"Limnodrilus claparedeianus","Limnodrilus claparedianus",5,NA,"N","Y","","N","N","20",NA,0,NA,"","",564264,"",NA,"",68654,"S","Annelida","Clitellata","Haplotaxida","Tubificidae","Limnodrilus","STANDARD PONAR","0.052","1","0.052","12","0.5","Q18",""
1038,"NCCAGL10-GLBA10-160","NY",42.86679,-78.8867,"7/13/2010",0.5,"Potamothrix vejdovskyi","Potamothrix vejdovskyi",2,NA,"N","Y","","N","N","2451",NA,0,NA,"","",564264,"accepted",137565,"",68790,"S","Annelida","Clitellata","Haplotaxida","Tubificidae","Potamothrix","STANDARD PONAR","0.052","1","0.052","12","0.5","Q18",""
1038,"NCCAGL10-GLBA10-160","NY",42.86679,-78.8867,"7/13/2010",0.5,"Potamothrix moldaviensis","Potamothrix moldaviensis",1,NA,"N","Y","","N","N","4454",NA,0,NA,"","",564264,"accepted",137563,"",68789,"S","Annelida","Clitellata","Haplotaxida","Tubificidae","Potamothrix","STANDARD PONAR","0.052","1","0.052","12","0.5","Q18",""
1038,"NCCAGL10-GLBA10-160","NY",42.86679,-78.8867,"7/13/2010",0.5,"Dreissena bugensis","Dreissena bugensis",3728,NA,"N","Y","","N","N","1179",NA,0,NA,"","",564264,"accepted",505319,"",567514,"S","Mollusca","Bivalvia","Veneroida","Dreissenidae","Dreissena","STANDARD PONAR","0.052","1","0.052","12","0.5","Q18",""
1038,"NCCAGL10-GLBA10-160","NY",42.86679,-78.8867,"7/13/2010",0.5,"Tubificidae with cap setae","",1,NA,"N","Y","","N","N","1347",NA,0,NA,"","",564264,"",NA,"",NA,"","","","","","","STANDARD PONAR","0.052","1","0.052","12","0.5","Q18",""
1038,"NCCAGL10-GLBA10-160","NY",42.86679,-78.8867,"7/13/2010",0.5,"Limnodrilus hoffmeisteri","Limnodrilus hoffmeisteri",8,NA,"N","Y","","N","N","21",NA,0,NA,"","",564264,"accepted",137556,"",68639,"S","Annelida","Clitellata","Haplotaxida","Tubificidae","Limnodrilus","STANDARD PONAR","0.052","1","0.052","12","0.5","Q18",""
1038,"NCCAGL10-GLBA10-160","NY",42.86679,-78.8867,"7/13/2010",0.5,"Thienemannimyia gr. sp.","Thienemannimyia",1,NA,"N","Y","","N","N","805",NA,0,NA,"","",564264,"",NA,"",128236,"G","Arthropoda","Insecta","Diptera","Chironomidae","Thienemannimyia","STANDARD PONAR","0.052","1","0.052","12","0.5","Q18",""
1046,"NCCAGL10-GLBA10-145","NY",44.01517,-76.16109,"6/13/2010",0.5,"Dreissena bugensis","Dreissena bugensis",10,NA,"N","Y","","N","N","1179",NA,0,NA,"","",561364,"accepted",505319,"",567514,"S","Mollusca","Bivalvia","Veneroida","Dreissenidae","Dreissena","STANDARD PONAR","0.052","1","0.052","9","0.5","Q18",""
1046,"NCCAGL10-GLBA10-145","NY",44.01517,-76.16109,"6/13/2010",0.5,"Tanytarsus sp.","Tanytarsus",1,NA,"N","Y","","N","N","1029",NA,0,NA,"","",561364,"accepted",156922,"",129978,"G","Arthropoda","Insecta","Diptera","Chironomidae","Tanytarsus","STANDARD PONAR","0.052","1","0.052","9","0.5","Q18",""
1046,"NCCAGL10-GLBA10-145","NY",44.01517,-76.16109,"6/13/2010",0.5,"Ostracoda","Ostracoda",59,NA,"N","Y","","N","N","121",NA,0,NA,"","",561364,"accepted",1078,"",84195,"C","Arthropoda","Ostracoda","","","","STANDARD PONAR","0.052","1","0.052","9","0.5","Q18",""
1046,"NCCAGL10-GLBA10-145","NY",44.01517,-76.16109,"6/13/2010",0.5,"Sphaeriidae","Sphaeriidae",2,NA,"N","Y","","Y","N","101",NA,0,NA,"","",561364,"accepted",489101,"",112737,"F","Mollusca","Bivalvia","Veneroida","Sphaeriidae","","STANDARD PONAR","0.052","1","0.052","9","0.5","Q18",""
1046,"NCCAGL10-GLBA10-145","NY",44.01517,-76.16109,"6/13/2010",0.5,"Microchironomus sp.","Microchironomus",1,NA,"N","Y","","N","N","954",NA,0,NA,"","",561364,"",NA,"",129532,"G","Arthropoda","Insecta","Diptera","Chironomidae","Microchironomus","STANDARD PONAR","0.052","1","0.052","9","0.5","Q18",""
1046,"NCCAGL10-GLBA10-145","NY",44.01517,-76.16109,"6/13/2010",0.5,"Coelotanypus sp.","Coelotanypus",2,NA,"N","Y","","N","N","775",NA,0,NA,"","",561364,"",NA,"",128010,"G","Arthropoda","Insecta","Diptera","Chironomidae","Coelotanypus","STANDARD PONAR","0.052","1","0.052","9","0.5","Q18",""
1048,"NCCAGL10-GLBA10-133","NY",43.936053,-76.14555,"6/14/2010",0.5,"Procladius sp.","Procladius",22,NA,"N","Y","","N","N","799",NA,0,NA,"","",562174,"accepted",156905,"",128277,"G","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","STANDARD PONAR","0.052","1","0.052","20","0.5","Q18",""
1048,"NCCAGL10-GLBA10-133","NY",43.936053,-76.14555,"6/14/2010",0.5,"Tubificidae w/o cap setae","Tubificidae",13,NA,"N","N","","N","N","1348",NA,0,NA,"","",562174,"accepted",2040,"",68585,"F","Annelida","Clitellata","Haplotaxida","Tubificidae","","STANDARD PONAR","0.052","1","0.052","20","0.5","Q18",""
1048,"NCCAGL10-GLBA10-133","NY",43.936053,-76.14555,"6/14/2010",0.5,"Aulodrilus pluriseta","Aulodrilus pluriseta",1,NA,"N","Y","","N","N","14",NA,0,NA,"","",562174,"",NA,"",68684,"S","Annelida","Clitellata","Haplotaxida","Tubificidae","Aulodrilus","STANDARD PONAR","0.052","1","0.052","20","0.5","Q18",""
1048,"NCCAGL10-GLBA10-133","NY",43.936053,-76.14555,"6/14/2010",0.5,"Limnodrilus hoffmeisteri","Limnodrilus hoffmeisteri",5,NA,"N","Y","","N","N","21",NA,0,NA,"","",562174,"accepted",137556,"",68639,"S","Annelida","Clitellata","Haplotaxida","Tubificidae","Limnodrilus","STANDARD PONAR","0.052","1","0.052","20","0.5","Q18",""
1048,"NCCAGL10-GLBA10-133","NY",43.936053,-76.14555,"6/14/2010",0.5,"Ablabesmyia annulata","Ablabesmyia annulata",1,NA,"N","Y","","N","N","767",NA,0,NA,"","",562174,"",NA,"",128081,"S","Arthropoda","Insecta","Diptera","Chironomidae","Ablabesmyia","STANDARD PONAR","0.052","1","0.052","20","0.5","Q18",""
1048,"NCCAGL10-GLBA10-133","NY",43.936053,-76.14555,"6/14/2010",0.5,"Coelotanypus sp.","Coelotanypus",8,NA,"N","Y","","N","N","775",NA,0,NA,"","",562174,"",NA,"",128010,"G","Arthropoda","Insecta","Diptera","Chironomidae","Coelotanypus","STANDARD PONAR","0.052","1","0.052","20","0.5","Q18",""
1048,"NCCAGL10-GLBA10-133","NY",43.936053,-76.14555,"6/14/2010",0.5,"Spirosperma ferox","Spirosperma ferox",1,NA,"N","Y","","N","N","26",NA,0,NA,"","",562174,"",NA,"",68610,"S","Annelida","Clitellata","Haplotaxida","Tubificidae","Spirosperma","STANDARD PONAR","0.052","1","0.052","20","0.5","Q18",""
1048,"NCCAGL10-GLBA10-133","NY",43.936053,-76.14555,"6/14/2010",0.5,"Hexagenia sp.","Hexagenia",2,NA,"N","Y","","Y","N","200",NA,0,NA,"","",562174,"accepted",593171,"",101537,"G","Arthropoda","Insecta","Ephemeroptera","Ephemeridae","Hexagenia","STANDARD PONAR","0.052","1","0.052","20","0.5","Q18",""
1048,"NCCAGL10-GLBA10-133","NY",43.936053,-76.14555,"6/14/2010",0.5,"Chironomus sp.","Chironomus",9,NA,"N","Y","","N","N","930",NA,0,NA,"","",562174,"accepted",146802,"",129254,"G","Arthropoda","Insecta","Diptera","Chironomidae","Chironomus","STANDARD PONAR","0.052","1","0.052","20","0.5","Q18",""
1048,"NCCAGL10-GLBA10-133","NY",43.936053,-76.14555,"6/14/2010",0.5,"Cryptotendipes sp.","Cryptotendipes",1,NA,"N","Y","","N","N","938",NA,0,NA,"","",562174,"",NA,"",129394,"G","Arthropoda","Insecta","Diptera","Chironomidae","Cryptotendipes","STANDARD PONAR","0.052","1","0.052","20","0.5","Q18",""
1070,"NCCAGL10-GLBA10-021","NY",44.05998,-76.17014,"6/12/2010",0.5,"Tubificidae with cap setae","",1,NA,"N","N","","N","N","1347",NA,0,NA,"","",561414,"",NA,"",NA,"","","","","","","STANDARD PONAR","0.052","1","0.052","7","0.5","Q18",""
1070,"NCCAGL10-GLBA10-021","NY",44.05998,-76.17014,"6/12/2010",0.5,"Uncinais uncinata","Uncinais uncinata",2,NA,"N","Y","","N","N","3232",NA,0,NA,"","",561414,"accepted",137487,"",68990,"S","Annelida","Clitellata","Haplotaxida","Tubificidae","Uncinais","STANDARD PONAR","0.052","1","0.052","7","0.5","Q18",""
1070,"NCCAGL10-GLBA10-021","NY",44.05998,-76.17014,"6/12/2010",0.5,"Paratanytarsus sp.","Paratanytarsus",1,NA,"N","Y","","N","N","1015",NA,0,NA,"","",561414,"",NA,"",129935,"G","Arthropoda","Insecta","Diptera","Chironomidae","Paratanytarsus","STANDARD PONAR","0.052","1","0.052","7","0.5","Q18",""
1070,"NCCAGL10-GLBA10-021","NY",44.05998,-76.17014,"6/12/2010",0.5,"Enchytraeidae","Enchytraeidae",2,NA,"N","Y","","N","N","9",NA,0,NA,"","",561414,"accepted",2038,"",68510,"F","Annelida","Clitellata","Haplotaxida","Enchytraeidae","","STANDARD PONAR","0.052","1","0.052","7","0.5","Q18",""
1070,"NCCAGL10-GLBA10-021","NY",44.05998,-76.17014,"6/12/2010",0.5,"Cryptochironomus sp.","Cryptochironomus",7,NA,"N","Y","","N","N","934",NA,0,NA,"","",561414,"accepted",181574,"",129368,"G","Arthropoda","Insecta","Diptera","Chironomidae","Cryptochironomus","STANDARD PONAR","0.052","1","0.052","7","0.5","Q18",""
1070,"NCCAGL10-GLBA10-021","NY",44.05998,-76.17014,"6/12/2010",0.5,"Hygrobates sp.","Hygrobates",4,NA,"N","Y","","N","N","3040",NA,0,NA,"","",561414,"",NA,"",83297,"G","Arthropoda","Arachnida","Trombidiformes","Hygrobatidae","Hygrobates","STANDARD PONAR","0.052","1","0.052","7","0.5","Q18",""
1070,"NCCAGL10-GLBA10-021","NY",44.05998,-76.17014,"6/12/2010",0.5,"Rhyacodrilus sp.","Rhyacodrilus",2,NA,"N","Y","","N","N","2695",NA,0,NA,"","",561414,"accepted",176320,"",68839,"G","Annelida","Clitellata","Haplotaxida","Tubificidae","Rhyacodrilus","STANDARD PONAR","0.052","1","0.052","7","0.5","Q18",""
1070,"NCCAGL10-GLBA10-021","NY",44.05998,-76.17014,"6/12/2010",0.5,"Tubificidae w/o cap setae","Tubificidae",3,NA,"N","Y","","N","N","1348",NA,0,NA,"","",561414,"accepted",2040,"",68585,"F","Annelida","Clitellata","Haplotaxida","Tubificidae","","STANDARD PONAR","0.052","1","0.052","7","0.5","Q18",""
1076,"NCCAGL10-GLBA10-033","NY",44.00631,-76.16933,"6/13/2010",0.5,"Tubificidae w/o cap setae","Tubificidae",42,NA,"N","Y","","N","N","1348",NA,0,NA,"","",562164,"accepted",2040,"",68585,"F","Annelida","Clitellata","Haplotaxida","Tubificidae","","STANDARD PONAR","0.052","1","0.052","9","0.5","Q18",""
1076,"NCCAGL10-GLBA10-033","NY",44.00631,-76.16933,"6/13/2010",0.5,"Coelotanypus sp.","Coelotanypus",6,NA,"N","Y","","N","N","775",NA,0,NA,"","",562164,"",NA,"",128010,"G","Arthropoda","Insecta","Diptera","Chironomidae","Coelotanypus","STANDARD PONAR","0.052","1","0.052","9","0.5","Q18",""
1076,"NCCAGL10-GLBA10-033","NY",44.00631,-76.16933,"6/13/2010",0.5,"Procladius sp.","Procladius",8,NA,"N","Y","","N","N","799",NA,0,NA,"","",562164,"accepted",156905,"",128277,"G","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","STANDARD PONAR","0.052","1","0.052","9","0.5","Q18",""
1076,"NCCAGL10-GLBA10-033","NY",44.00631,-76.16933,"6/13/2010",0.5,"Dicrotendipes neomodestus","Dicrotendipes neomodestus",1,NA,"N","Y","","N","N","3662",NA,0,NA,"","",562164,"",NA,"",129450,"S","Arthropoda","Insecta","Diptera","Chironomidae","Dicrotendipes","STANDARD PONAR","0.052","1","0.052","9","0.5","Q18",""
