PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,VISIT_NO,DATE_COL,PSTL_CODE,WTBDY_TYPE,FINAL_GRAB_AREA,GRAB_DEPTH,GRAB_TYPE,GRABS,SIEVE_SIZE,NOT_COLLECTED,SALINITY,BENT_COMMENT,SHIP_COMMENT
8/23/2024,2011638,NCA_TX-10286,NCA20_TX-10051,1,6/11/2020,TX,MARINE,0.04,6.5,OTHER: EKMAN,2,,,13.6,"After multiple grabs with the Eckman and Ponars, we were unable to get an average depth of 7cm. Oyster reefs in area. Oysters preventing the grabbers from closing all the way on many grabs.",
8/23/2024,2011639,NGL_WI-10107,NGL20_WI-10013,1,6/11/2020,WI,GREAT_LAKES,,,,,,Y,,Only minuscule amounts of clay collected in repeated drops in all three zones.,
8/23/2024,2011640,NGL_WI-10010,NGL20_WI-10002,1,6/11/2020,WI,GREAT_LAKES,0.052,3.8,STANDARD_PONAR,1,,,,"12 tries with no sediment, only rocks, in primary and secondary zones before finding sand in tertiary zone. No grabs >7cm deep.",
8/23/2024,2011643,NGL_WI-10013,NGL20_WI-10003,1,6/12/2020,WI,GREAT_LAKES,,,,,,Y,,No soft sediment on all tries in all three zones.,
8/23/2024,2011644,NGL_WI-10101,NGL20_WI-10007,1,6/12/2020,WI,GREAT_LAKES,,,,,,Y,,No soft sediment on all tries in all three zones. Rock and Dreissenid mussels only.,
8/23/2024,2011645,NCA_MS-10141,NCA20_MS-10006,1,6/11/2020,MS,MARINE,0.052,14,STANDARD_PONAR,1,,,4.86,,
8/23/2024,2011646,NCA_MS-10143,NCA20_MS-10008,1,6/12/2020,MS,MARINE,0.052,7,STANDARD_PONAR,1,,,6.99,,
8/23/2024,2011647,NCA_RI-10120,NCA20_RI-10010,1,6/14/2020,RI,MARINE,0.052,7,STANDARD_PONAR,1,,,28.8,Unidentified mollusk removed from sample and returned to an area that was unlikely to be sampled again.,
8/23/2024,2011648,NGL_MI-10560,NGL20_MI-10159,1,6/14/2020,MI,GREAT_LAKES,0.052,8,STANDARD_PONAR,1,,,,,
8/23/2024,2011650,NGL_MI-10004,NGL20_MI-10133,1,6/14/2020,MI,GREAT_LAKES,0.052,8,STANDARD_PONAR,1,,,,,
8/23/2024,2011651,NCA_TX-10224,NCA20_TX-10013,1,6/15/2020,TX,MARINE,0.052,11.25,STANDARD_PONAR,1,,,21.94,X-site in shipping channel. Moved to safety to take sediment and benthic samples.,
8/23/2024,2011652,NCA_RI-10108,NCA20_RI-10001,1,6/15/2020,RI,MARINE,0.052,8,STANDARD_PONAR,1,,,30.49,,
8/23/2024,2011653,NCA_MS-10137,NCA20_MS-10002,1,6/15/2020,MS,MARINE,0.052,14,STANDARD_PONAR,1,,,12.8,,
8/23/2024,2011654,NCA_MS-10136,NCA20_MS-10001,1,6/14/2020,MS,MARINE,0.052,8,STANDARD_PONAR,1,,,25.98,,
8/23/2024,2011655,NGL_WI-10104,NGL20_WI-10010,1,6/15/2020,WI,GREAT_LAKES,0.052,7,STANDARD_PONAR,1,,,,,
8/23/2024,2011656,NGL_WI-10017,NGL20_WI-10006,1,6/14/2020,WI,GREAT_LAKES,0.052,6.6,STANDARD_PONAR,1,,,,,
8/23/2024,2011657,NGL_WI-10106,NGL20_WI-10012,1,6/14/2020,WI,GREAT_LAKES,0.052,10.4,STANDARD_PONAR,1,,,,,
8/23/2024,2011659,NGL_MI-10549,NGL20_MI-10148,1,6/15/2020,MI,GREAT_LAKES,0.052,8,STANDARD_PONAR,1,,,,,
8/23/2024,2011662,NCA_TX-10277,NCA20_TX-10042,1,6/16/2020,TX,MARINE,0.052,7,STANDARD_PONAR,1,,,18.18,Shell hash within 500m radius,
8/23/2024,2011663,NCA_TX-10280,NCA20_TX-10045,1,6/16/2020,TX,MARINE,0.046,7,OTHER: PETITE PONAR,2,,,14.6,,
8/23/2024,2011664,NGL_WI-10009,NGL20_WI-10001,1,6/16/2020,WI,GREAT_LAKES,0.052,8.9,STANDARD_PONAR,1,,,,,
8/23/2024,2011665,NCA_GA-10171,NCA20_GA-10021,1,6/16/2020,GA,MARINE,0.046,5,OTHER: PETITE PONAR,2,,,24.65,"Using petite ponar, first sample 5.0 cm, second sample 5.0 cm",
8/23/2024,2011666,NCA_MS-10139,NCA20_MS-10004,1,6/16/2020,MS,MARINE,0.052,14,STANDARD_PONAR,1,,,14.97,,
8/23/2024,2011667,NCA_MS-10142,NCA20_MS-10007,1,6/16/2020,MS,MARINE,0.052,11,STANDARD_PONAR,1,,,15.57,,
8/23/2024,2011668,NCA_RI-10123,NCA20_RI-10013,1,6/16/2020,RI,MARINE,0.052,7,STANDARD_PONAR,1,,,27.8,,
8/23/2024,2011669,NCA_TX-10234,NCA20_TX-10065,1,6/16/2020,TX,MARINE,0.046,5.5,OTHER: PETITE PONAR,2,,,18.08,Tried multiple grabs at multiple locations and could not get >7cm.,
8/23/2024,2011670,NGL_MI-10015,NGL20_MI-10143,1,6/16/2020,MI,GREAT_LAKES,,,,,,Y,,Sediment not collected. Substrate is cobble boulder throughout the 500 meter radius around the x-site.,
8/23/2024,2011671,NCA_FL-10245,NCA20_FL-10044,1,6/15/2020,FL,MARINE,0.044,11,OTHER: YOUNG-MODIFIED VAN VEEN,1,,,22.98,,
8/23/2024,2011672,NGL_MI-10563,NGL20_MI-10162,1,6/17/2020,MI,GREAT_LAKES,,,,,,Y,,Substrate is a mix of cobble boulder and bedrock throughout the 500 meter radius around the x-site.,
8/23/2024,2011676,NCA_TX-10332,NCA20_TX-10113,1,6/17/2020,TX,MARINE,0.04,10.5,OTHER: EKMAN,2,,,6.87,,
8/23/2024,2011677,NCA_FL-10281,NCA20_FL-10066,1,6/15/2020,FL,MARINE,0.0364,13,OTHER: 6 INCH CORE,2,,,24.28,,
8/23/2024,2011678,NCA_RI-10106,NCA20_RI-10002,1,6/17/2020,RI,MARINE,0.052,14,STANDARD_PONAR,1,,,28.8,,
8/23/2024,2011679,NCA_GA-10155,NCA20_GA-10005,1,6/17/2020,GA,MARINE,0.046,6,OTHER: PETITE PONAR,2,,,26.6,,
8/23/2024,2011680,NCA_FL-10247,NCA20_FL-10045,1,6/17/2020,FL,MARINE,0.044,7,OTHER: YOUNG-MODIFIED VAN VEEN,1,,,25.38,,
8/23/2024,2011681,NCA_NH-10117,NCA20_NH-10003,1,6/17/2020,NH,MARINE,0.044,8,VAN_VEEN,1,,,28.72,,Also included microplastics
8/23/2024,2011682,NCA_FL-10296,NCA20_FL-10081,1,6/17/2020,FL,MARINE,0.0364,7,OTHER: 6 INCH CORE,2,,,25.37,,
8/23/2024,2011683,NCA_TX-10293,NCA20_TX-10058,1,6/17/2020,TX,MARINE,0.04,6,OTHER: EKMAN,2,,,25.9,Multiple grabs in multiple areas with Eckman and Petite Ponar were taken and could not get a depth of 7cm for benthics.,
8/23/2024,2011684,NCA_TX-10235,NCA20_TX-10066,1,6/17/2020,TX,MARINE,0.04,8.5,OTHER: EKMAN,2,,,23.33,,
8/23/2024,2011687,NCA_RI-10124,NCA20_RI-10014,1,6/18/2020,RI,MARINE,0.052,11.5,STANDARD_PONAR,1,,,30.4,,
8/23/2024,2011688,NCA_TX-10284,NCA20_TX-10049,1,6/18/2020,TX,MARINE,0.04,6.5,OTHER: EKMAN,2,,,7.92,Ship channel to busy to grab samples. 29.74501 -95.06504. Sediment sampler wasn't able to achieve 7 cm grab after several attempts.,
8/23/2024,2011690,NGL_WI-10103,NGL20_WI-10009,1,6/17/2020,WI,GREAT_LAKES,0.052,4.5,STANDARD_PONAR,1,,,,"No grabs >7cm, most suitable sample kept after repeated attempts.",
8/23/2024,2011692,NGL_MI-10562,NGL20_MI-10161,1,6/18/2020,MI,GREAT_LAKES,,,,,,Y,,Dropped pomade at 10 locations within the 37 meter area around the x-site. First few attempts yielded 1-2 cm which were used for SEDO and SEDX. The last 5 drops were empty. Moved outside of 37 meters but substrate is more rocks. Moved out to 100-500 meters and larger rocks were present. Not enough sediment for benthic sample. Enough sediment for SEDO and SEDX samples only.,
8/23/2024,2011693,NCA_TX-10283,NCA20_TX-10048,1,6/18/2020,TX,MARINE,0.04,9.5,OTHER: EKMAN,2,,,9.52,,
8/23/2024,2011694,NCA_MS-10138,NCA20_MS-10003,1,6/17/2020,MS,MARINE,0.052,14,STANDARD_PONAR,1,,,23.28,,
8/23/2024,2011695,NCA_MS-10144,NCA20_MS-10009,1,6/17/2020,MS,MARINE,0.052,14,STANDARD_PONAR,1,,,25.04,,
8/23/2024,2011696,NGL_MI-10002,NGL20_MI-10131,2,6/19/2020,MI,GREAT_LAKES,0.052,6,STANDARD_PONAR,1,,,,6 cm was the best we could get at this location after 5 attempts.,
8/23/2024,2011697,NCA_MA-10206,NCA20_MA-10048,1,6/19/2020,MA,MARINE,0.052,13,STANDARD_PONAR,1,,,29,,
8/23/2024,2011698,NCA_NH-10129,NCA20_NH-10015,1,6/18/2020,NH,MARINE,0.044,9,VAN_VEEN,1,,,27.85,,Also included microplastics
8/23/2024,2011699,NGL_MI-10076,NGL20_MI-10038,1,6/19/2020,MI,GREAT_LAKES,0.052,7,STANDARD_PONAR,1,,,,,
8/23/2024,2011700,NGL_MI-10067,NGL20_MI-10029,1,6/18/2020,MI,GREAT_LAKES,0.052,7,STANDARD_PONAR,1,,,,,
8/23/2024,2011705,NCA_RI-10109,NCA20_RI-10007,1,6/21/2020,RI,MARINE,0.052,11,STANDARD_PONAR,1,,,30.82,,
8/23/2024,2011706,NGL_MI-10520,NGL20_MI-10052,1,6/21/2020,MI,GREAT_LAKES,,,,,,Y,,Unable to collect sediment to to rocky substrate.,Unable to collect sediment at site due to rocky substrate.
8/23/2024,2011707,NGL_MI-10006,NGL20_MI-10135,1,6/21/2020,MI,GREAT_LAKES,,,,,,Y,,"All hard substrate, attempts with ponar unsuccessful video confirmed hard substrate",
8/23/2024,2011708,NGL_MI-10558,NGL20_MI-10157,1,6/21/2020,MI,GREAT_LAKES,,,,,,Y,,"All hard substrate, attempts with ponar unsuccessful video confirmed hard substrate",
8/23/2024,2011711,NGL_MI-10060,NGL20_MI-10023,1,6/22/2020,MI,GREAT_LAKES,0.052,8,STANDARD_PONAR,1,,,,,
8/23/2024,2011712,NCA_RI-10125,NCA20_RI-10015,1,6/22/2020,RI,MARINE,0.052,7.5,STANDARD_PONAR,1,,,33.29,,
8/23/2024,2011713,NGL_MI-10014,NGL20_MI-10142,1,6/22/2020,MI,GREAT_LAKES,,,,,,Y,,Attempted all three zones to find sediment with ponar without success. videos also showed rocks.,
8/23/2024,2011717,NCA_WA-10194,NCA20_WA-10002,1,6/22/2020,WA,MARINE,0.052,6,STANDARD_PONAR,1,,,6.6,6.0 cm was the best we could collect after dropping the polar 7 times.,
8/23/2024,2011718,NCA_RI-10121,NCA20_RI-10011,1,6/23/2020,RI,MARINE,0.052,12,STANDARD_PONAR,1,,,32.4,,
8/23/2024,2011719,NCA_NC-10128,NCA20_NC-10006,1,6/23/2020,NC,MARINE,0.044,7,VAN_VEEN,1,,,16.3,,
8/23/2024,2011720,NGL_NY-10144,NGL20_NY-10071,1,6/23/2020,NY,GREAT_LAKES,0.052,8.5,STANDARD_PONAR,1,,,,,
8/23/2024,2011721,NGL_MI-10510,NGL20_MI-10042,1,6/23/2020,MI,GREAT_LAKES,0.052,7,STANDARD_PONAR,1,,,,,
8/23/2024,2011722,NCA_TX-10251,NCA20_TX-10016,1,6/23/2020,TX,MARINE,0.046,2,OTHER: PETITE PONAR,2,,,33.82,"Attempted to sample sediment with the Eckman, Standard Ponar, and Petite Ponar in multiple locations but unable to get a depth of 7cm.",
8/23/2024,2011723,NCA_TX-10213,NCA20_TX-10062,1,6/23/2020,TX,MARINE,0.046,10.5,OTHER: PETITE PONAR,2,,,42.6,,
8/23/2024,2011724,NCA_TX-10254,NCA20_TX-10019,1,6/23/2020,TX,MARINE,0.046,5.5,OTHER: PETITE PONAR,2,,,40.86,Many attempts to gather successful grab. Sediment very firm.,
8/23/2024,2011725,NCA_TX-10216,NCA20_TX-10063,1,6/23/2020,TX,MARINE,0.046,2.5,OTHER: PETITE PONAR,2,,,32.49,"Tried using Ponar, Petite Ponar, and Eckman in multiple locations but could not get a depth of 7cm.",
8/23/2024,2011726,NCA_WA-10226,NCA20_WA-10001,1,6/23/2020,WA,MARINE,0.052,10,STANDARD_PONAR,1,,,24.9,,
8/23/2024,2011727,NCA_NH-10121,NCA20_NH-10007,1,6/23/2020,NH,MARINE,0.044,6.5,VAN_VEEN,1,,,23.45,,Also shipped microplastics
8/23/2024,2011728,NCA_RI-10122,NCA20_RI-10012,1,6/24/2020,RI,MARINE,,,,,,Y,32.94,Unable to collect sample in any zone. Made multiple attempts but only hard substrates were present.,
8/23/2024,2011729,NCA_TX-10261,NCA20_TX-10026,1,6/24/2020,TX,MARINE,0.04,10.5,OTHER: EKMAN,2,,,43.02,,
8/23/2024,2011730,NCA_FL-10254,NCA20_FL-10042,1,6/24/2020,FL,MARINE,0.044,9,OTHER: YOUNG-MODIFIED VAN VEEN,1,,,33.79,,
8/23/2024,2011731,NCA_TX-10304,NCA20_TX-10085,1,6/24/2020,TX,MARINE,0.046,7.75,OTHER: PETITE PONAR,2,,,44.6,,
8/23/2024,2011732,NGL_WI-10105,NGL20_WI-10011,1,6/24/2020,WI,GREAT_LAKES,,,,,,Y,,Only rocks and Dreissenid mussels collected anywhere within 500 meters of x-site. Approximately 12 attempts win each zone with no soft sediment collected.,
8/23/2024,2011733,NCA_FL-10289,NCA20_FL-10074,1,6/24/2020,FL,MARINE,0.044,8,OTHER: YOUNG-MODIFIED VAN VEEN,1,,,34.54,,
8/23/2024,2011734,NGL_MI-10072,NGL20_MI-10034,1,6/24/2020,MI,GREAT_LAKES,0.052,7p,STANDARD_PONAR,1,,,,,
8/23/2024,2011735,NCA_TX-10212,NCA20_TX-10061,1,6/24/2020,TX,MARINE,0.052,6,STANDARD_PONAR,1,,,35.31,"Sediment and benthics taken around 26.09295, -97.18120. Tried sampling in multiple locations with the Eckman, Petite Ponar, and Standard Ponar but unable to get a depth of 7cm. Heavily vegetated bottom and numerous shells.",
8/23/2024,2011736,NCA_TX-10298,NCA20_TX-10079,1,6/24/2020,TX,MARINE,0.052,6,STANDARD_PONAR,1,,,35.55,"Benthic Samples and sediment samples taken at 26.09357, -97.18495. Attempted to sample with Standard Ponar, Petite Ponar, and Eckman at multiple locations but unable to get 7cm depth.",
8/23/2024,2011737,NCA_WA-10228,NCA20_WA-10010,1,6/24/2020,WA,MARINE,0.052,8.5,STANDARD_PONAR,1,,,27.5,,
8/23/2024,2011738,NCA_VA-10192,NCA20_VA-10006,1,6/25/2020,VA,MARINE,0.044,7,OTHER: YOUNG-MODIFIED VAN VEEN,1,,,17.58,,
8/23/2024,2011739,NCA_VA-10205,NCA20_VA-10020,1,6/23/2020,VA,MARINE,0.046,7,OTHER: PETITE PONAR,2,,,1.15,,
8/23/2024,2011741,NCA_TX-10260,NCA20_TX-10025,1,6/25/2020,TX,MARINE,0.046,7,OTHER: PETITE PONAR,2,,,4.5,,
8/23/2024,2011742,NCA_TX-10265,NCA20_TX-10030,1,6/25/2020,TX,MARINE,0.04,7.25,OTHER: EKMAN,2,,,43.28,,
8/23/2024,2011743,NCA_TX-10259,NCA20_TX-10024,1,6/25/2020,TX,MARINE,0.04,8,OTHER: EKMAN,2,,,43.73,,
8/23/2024,2011744,NGL_MI-10003,NGL20_MI-10132,1,6/24/2020,MI,GREAT_LAKES,0.052,8,STANDARD_PONAR,1,,,,,
8/23/2024,2011745,NGL_MI-10554,NGL20_MI-10153,1,6/24/2020,MI,GREAT_LAKES,0.052,13,STANDARD_PONAR,1,,,,,
8/23/2024,2011746,NGL_NY-10128,NGL20_NY-10055,1,6/25/2020,NY,GREAT_LAKES,0.052,7.2,STANDARD_PONAR,1,,,,,
8/23/2024,2011747,NCA_NH-10128,NCA20_NH-10014,1,6/25/2020,NH,MARINE,0.044,7.5,VAN_VEEN,1,,,27.49,,
8/23/2024,2011748,NGL_MI-10513,NGL20_MI-10045,1,6/25/2020,MI,GREAT_LAKES,0.052,11,STANDARD_PONAR,1,,,,,
8/23/2024,2011749,NCA_MS-10145,NCA20_MS-10010,1,6/25/2020,MS,MARINE,0.052,7,STANDARD_PONAR,1,,,23.32,Collected from different area than sediment I order to obtain a sample >7cm deep.,
8/23/2024,2011750,NCA_MS-10169,NCA20_MS-10034,1,6/24/2020,MS,MARINE,0.052,9,STANDARD_PONAR,1,,,15.06,,Missing packing slip
8/23/2024,2011755,NCA_MA-10161,NCA20_MA-10007,1,6/25/2020,MA,MARINE,0.052,7.2,STANDARD_PONAR,1,,,33.56,,
8/23/2024,2011757,NGL_NY-10011,NGL20_NY-10032,1,6/26/2020,NY,GREAT_LAKES,0.052,9,STANDARD_PONAR,1,,,,,
8/23/2024,2011759,NCA_WA-10224,NCA20_WA-10008,1,6/25/2020,WA,MARINE,0.052,10,STANDARD_PONAR,1,,,26.7,,
8/23/2024,2011760,NCA_WA-10238,NCA20_WA-10024,1,6/25/2020,WA,MARINE,0.052,10,STANDARD_PONAR,1,,,28,,
8/23/2024,2011761,NCA_WA-10235,NCA20_WA-10006,1,6/26/2020,WA,MARINE,0.052,11,STANDARD_PONAR,1,,,27.1,Moved to deeper water due to tide exchange.,
8/23/2024,2011762,NGL_MI-10057,NGL20_MI-10020,1,6/26/2020,MI,GREAT_LAKES,,,,,,Y,,First few grabs yielded very little sediment. After the third grab we were unable to get a successful grab due to rocks and zebra mussels. What little sediment was recovered was used for sedo and sedc. There was not enough to make the sedx sample worth filling.,
8/23/2024,2011763,NCA_FL-10229,NCA20_FL-10039,1,6/26/2020,FL,MARINE,0.044,9.5,OTHER: YOUNG-MODIFIED VAN VEEN,1,,,23.09,,
8/23/2024,2011764,NCA_MA-10170,NCA20_MA-10010,1,6/26/2020,MA,MARINE,0.052,7.2,STANDARD_PONAR,1,,,33.15,8 larger sand dollars were in ponar grab. The sand dollars were too large to fit inside benthics bottles.,
8/23/2024,2011765,NCA_FL-10292,NCA20_FL-10077,1,6/26/2020,FL,MARINE,0.0364,12.5,OTHER: 6 INCH CORE,2,,,13.05,,
8/23/2024,2011766,NCA_MS-10151,NCA20_MS-10016,1,6/26/2020,MS,MARINE,0.052,9,STANDARD_PONAR,1,,,18.47,,
8/23/2024,2011767,NGL_MI-10008,NGL20_MI-10137,1,6/25/2020,MI,GREAT_LAKES,0.052,8,STANDARD_PONAR,1,,,,,
8/23/2024,2011768,NGL_WI-10010,NGL20_WI-10002,2,6/28/2020,WI,GREAT_LAKES,0.052,5.6,STANDARD_PONAR,1,,,,No successful grabs within primary and secondary zones. No grabs >7cm.,
8/23/2024,2011770,NGL_NY-10024,NGL20_NY-10045,1,6/28/2020,NY,GREAT_LAKES,0.052,13,STANDARD_PONAR,1,,,,,
8/23/2024,2011771,NCA_MA-10184,NCA20_MA-10026,1,6/28/2020,MA,MARINE,0.052,8.2,STANDARD_PONAR,1,,,33.26,,
8/23/2024,2011772,NGL_MI-10561,NGL20_MI-10160,1,6/28/2020,MI,GREAT_LAKES,,,,,,Y,,Bedrock and boulders within the 500 meter sample area around the x site. No sample collected.,
8/23/2024,2011773,NGL_MI-10061,NGL20_MI-10024,1,6/28/2020,MI,GREAT_LAKES,0.052,7,STANDARD_PONAR,1,,,,,
8/23/2024,2011774,NGL_MI-10564,NGL20_MI-10163,1,6/28/2020,MI,GREAT_LAKES,,,,,,Y,,Site is cobble boulder for the entire 500 meter radius around the x-site. No sample collected.,
8/23/2024,2011775,NCA_MA-10168,NCA20_MA-10009,1,6/28/2020,MA,MARINE,0.052,7.1,STANDARD_PONAR,1,,,33.4,,
8/23/2024,2011776,NGL_MI-10012,NGL20_MI-10140,1,6/28/2020,MI,GREAT_LAKES,,,,,,Y,,"Substrate is cobble, coarse gravel and scattered boulders for the entire 500 meter radius around the x-site. No sample collected.",
8/23/2024,2011777,NCA_WA-10261,NCA20_WA-10047,1,6/28/2020,WA,MARINE,0.052,9,STANDARD_PONAR,1,,,26.1,,
8/23/2024,2011778,NGL_NY-10012,NGL20_NY-10033,1,6/29/2020,NY,GREAT_LAKES,0.052,0.5,STANDARD_PONAR,1,,,,"Collected at coordinates: 43.91380, -76.18270; appx 64m from X site",
8/23/2024,2011780,NCA_MA-10149,NCA20_MA-10015,1,6/29/2020,MA,MARINE,0.052,7.4,STANDARD_PONAR,1,,,32.83,,
8/23/2024,2011781,NGL_MI-10517,NGL20_MI-10049,1,6/29/2020,MI,GREAT_LAKES,0.052,8,STANDARD_PONAR,1,,,,,
8/23/2024,2011782,NGL_MI-10521,NGL20_MI-10053,1,6/29/2020,MI,GREAT_LAKES,0.052,10,STANDARD_PONAR,1,,,,,
8/23/2024,2011783,NCA_MS-10172,NCA20_MS-10037,1,6/29/2020,MS,MARINE,0.052,14,STANDARD_PONAR,1,,,0.57,,
8/23/2024,2011784,NCA_MS-10170,NCA20_MS-10035,1,6/28/2020,MS,MARINE,0.052,14,STANDARD_PONAR,1,,,9.2,,
8/23/2024,2011785,NCA_MS-10149,NCA20_MS-10014,1,6/28/2020,MS,MARINE,0.052,13,STANDARD_PONAR,1,,,11.08,Jelly fish collected in grab. Removed from sample.,
8/23/2024,2011787,NCA_TX-10236,NCA20_TX-10002,1,6/29/2020,TX,MARINE,0.04,10.25,OTHER: EKMAN,2,,,14.43,,
8/23/2024,2011788,NCA_WA-10203,NCA20_WA-10014,1,6/29/2020,WA,MARINE,0.052,8,STANDARD_PONAR,1,,,29.5,Took a few tries to find a spot that  was not rocky.,
8/23/2024,2011789,NCA_WA-10242,NCA20_WA-40010,1,6/29/2020,WA,MARINE,0.052,10,STANDARD_PONAR,1,,,29.3,"Had to move around a few times to get a sample, bottom was rocky",
8/23/2024,2011790,NCA_FL-10228,NCA20_FL-10019,1,6/29/2020,FL,MARINE,0.044,7,OTHER: YOUNG-MODIFIED VAN VEEN,1,,,34.24,,
8/23/2024,2011791,NCA_FL-10226,NCA20_FL-10037,1,6/29/2020,FL,MARINE,0.044,7.5,OTHER: YOUNG-MODIFIED VAN VEEN,1,,,33.89,,
