PUBLICATION_DATE,UNIQUE_ID,UID,SITE_ID,VISIT_NO,DATE_COL,PSTL_CODE,LAT_DD,LON_DD,STATION_DEPTH,WTBDY_TYPE,YEAR,DSGN_CYCLE,IND_DOMAIN,EPA_REG,EST_GROUP,EVAL_CAT,FEAT_NM,LAT_DD83,LON_DD83,NCA_REG,NCCA_REG,NEP_OR_ESTUARY_PROGRAM_NAME,NEP_NAT,PROVINCE,SITETYPE,SMALL_EST,STATE_NM,WTBDY_NM,XCOORD,YCOORD,CHES_BAY,DWH_REGION,PENS_PERD_BAY,INDEX_NCCA20,INDEX_LIS
10/3/2024,NCA_AL-10154,2012189,NCA20_AL-10009,1,8/5/2020,AL,30.28175702,-88.15783289,3,MARINE,2020,2020,CORE,Region_04,LP_Other,Target_Sampled,Mississippi Sound,30.28175702,-88.15783289,Gulf_Coast,Gulf,Mobile Bay,NEP,Louisianian Province,PROB,Large,Alabama,East Mississippi Sound,752414.1358,-775072.409,Outside Chesapeake Bay,Inside DWH Area,Outside PPB,Y,
10/3/2024,NCA_AL-10155,2012124,NCA20_AL-10010,1,7/30/2020,AL,30.57358356,-88.05082959,2.9,MARINE,2020,2020,CORE,Region_04,LP_Mobile_Bay,Target_Sampled,Mobile Bay,30.57358356,-88.05082959,Gulf_Coast,Gulf,Mobile Bay,NEP,Louisianian Province,PROB,Large,Alabama,Mobile Bay,759948.5254,-741918.0057,Outside Chesapeake Bay,Inside DWH Area,Outside PPB,Y,
10/3/2024,NCA_AL-10156,2012080,NCA20_AL-10011,1,7/27/2020,AL,30.69901017,-88.01640566,1.059,MARINE,2020,2020,CORE,Region_04,LP_Mobile_Bay,Target_Sampled,Mobile Bay,30.69901017,-88.01640566,Gulf_Coast,Gulf,Mobile Bay,NEP,Louisianian Province,PROB,Small,Alabama,Mobile Bay,762062.2245,-727753.2935,Outside Chesapeake Bay,Inside DWH Area,Outside PPB,Y,
10/3/2024,NCA_AL-10157,2012244,NCA20_AL-10012,1,8/10/2020,AL,30.30440021,-87.60445504,1.3,MARINE,2020,2020,CORE,Region_04,LP_Other,Target_Sampled,Wolf Bay,30.30440021,-87.60445504,Gulf_Coast,Gulf,Not_NEP,Not_NEP,Louisianian Province,PROB,Small,Alabama,Perdido Bay,805152.3266,-768032.3295,Outside Chesapeake Bay,Inside DWH Area,Inside PPB,Y,
10/3/2024,NCA_AL-10158,2012152,NCA20_AL-10013,1,8/3/2020,AL,30.39470321,-87.83639993,1.4,MARINE,2020,2020,CORE,Region_04,LP_Mobile_Bay,Target_Sampled,Weeks Bay,30.39470321,-87.83639993,Gulf_Coast,Gulf,Mobile Bay,NEP,Louisianian Province,PROB,Small,Alabama,Mobile Bay,782103.3542,-759978.5721,Outside Chesapeake Bay,Inside DWH Area,Outside PPB,Y,
10/3/2024,NCA_AL-10159,2012209,NCA20_AL-10014,1,8/6/2020,AL,30.35514241,-88.24190106,2,MARINE,2020,2020,CORE,Region_04,LP_Other,Target_Sampled,Portersville Bay,30.35514241,-88.24190106,Gulf_Coast,Gulf,Mobile Bay,NEP,Louisianian Province,PROB,Small,Alabama,East Mississippi Sound,743701.7225,-767612.1824,Outside Chesapeake Bay,Inside DWH Area,Outside PPB,Y,
10/3/2024,NCA_AL-10160,2012245,NCA20_AL-10015,1,8/10/2020,AL,30.35337146,-87.45738644,3.2,MARINE,2020,2020,CORE,Region_04,LP_Other,Target_Sampled,Perdido Bay,30.35337146,-87.45738644,Gulf_Coast,Gulf,Not_NEP,Not_NEP,Louisianian Province,PROB,Small,Alabama,Perdido Bay,818730.666,-761359.0359,Outside Chesapeake Bay,Inside DWH Area,Inside PPB,Y,
10/3/2024,NCA_AL-10161,2012188,NCA20_AL-10016,1,8/5/2020,AL,30.26339136,-88.11801958,1.1,MARINE,2020,2020,CORE,Region_04,LP_Mobile_Bay,Target_Sampled,Dauphin Island Bay,30.26339136,-88.11801958,Gulf_Coast,Gulf,Mobile Bay,NEP,Louisianian Province,PROB,Small,Alabama,Mobile Bay,756394.2134,-776788.6763,Outside Chesapeake Bay,Inside DWH Area,Outside PPB,Y,
10/3/2024,NCA_AL-10162,2012208,NCA20_AL-10017,1,8/6/2020,AL,30.3717745,-88.24671203,2,MARINE,2020,2020,CORE,Region_04,LP_Other,Target_Sampled,Portersville Bay,30.3717745,-88.24671203,Gulf_Coast,Gulf,Mobile Bay,NEP,Louisianian Province,PROB,Small,Alabama,East Mississippi Sound,743091.0274,-765808.7993,Outside Chesapeake Bay,Inside DWH Area,Outside PPB,Y,
10/3/2024,NCA_CA-10234,2012026,NCA20_CA-10001,1,7/22/2020,CA,37.55906,-122.21057,1.4,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,San_Francisco_Bay,37.55906,-122.21057,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Large,California,San Francisco Bay,-2264493.743,320892.233,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10234,2012361,NCA20_CA-10001,2,8/18/2020,CA,37.55906,-122.21057,1,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,San_Francisco_Bay,37.55906,-122.21057,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Large,California,San Francisco Bay,-2264493.743,320892.233,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,N,
10/3/2024,NCA_CA-10235,2014841,NCA20_CA-10003,1,9/9/2020,CA,37.82219,-122.34926,6.3,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,San_Francisco_Bay,37.82219,-122.34926,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Large,California,San Francisco Bay,-2268095.964,352569.697,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10236,2014797,NCA20_CA-10004,1,9/2/2020,CA,38.02421,-122.36375,5.5,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,San_Francisco_Bay,38.02421,-122.36375,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Large,California,San Francisco Bay,-2263109.909,374692.539,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10237,2014903,NCA20_CA-10005,1,9/15/2020,CA,38.11549,-122.04044,0.9,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,San_Francisco_Bay,38.11549,-122.04044,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Large,California,San Francisco Bay,-2233290.533,376888.586,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10240,2012407,NCA20_CA-10006,1,8/20/2020,CA,37.87629,-122.36145,1.5,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,San_Francisco_Bay,37.87629,-122.36145,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Large,California,San Francisco Bay,-2267457.729,358692.414,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10241,2012307,NCA20_CA-10007,1,8/12/2020,CA,37.93837,-122.49602,2.3,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,San_Francisco_Bay,37.93837,-122.49602,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Large,California,San Francisco Bay,-2276817.053,368600.483,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10242,2012308,NCA20_CA-10008,1,8/11/2020,CA,37.94325,-122.47545,3.1,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,San_Francisco_Bay,37.94325,-122.47545,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Large,California,San Francisco Bay,-2274945.034,368633.72,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10243,2014842,NCA20_CA-10009,1,9/9/2020,CA,37.85527001,-122.39264,9.1,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,San_Francisco_Bay,37.85527001,-122.39264,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Large,California,San Francisco Bay,-2270717.131,357171.375,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10230,2011891,NCA20_CA-10012,1,7/13/2020,CA,41.19315458,-124.112285,4.8,MARINE,2020,2020,CORE,Region_09,ColP_Other,Target_Sampled,Big Lagoon,41.19315458,-124.112285,West_Coast,West,Not_NEP,Not_NEP,Columbian Province,PROB,Small,California,Big Lagoon,-2305432.841,757330.9897,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10230,2012257,NCA20_CA-10012,2,8/10/2020,CA,41.19315458,-124.112285,4.1,MARINE,2020,2020,CORE,Region_09,ColP_Other,Target_Sampled,Big Lagoon,41.19315458,-124.112285,West_Coast,West,Not_NEP,Not_NEP,Columbian Province,PROB,Small,California,Big Lagoon,-2305432.841,757330.9897,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,N,
10/3/2024,NCA_CA-10187,2012110,NCA20_CA-10013,1,7/29/2020,CA,32.7622491,-117.2404779,6.9,MARINE,2020,2020,CORE,Region_09,CalP_Other,Target_Sampled,Mission_Bay,32.7622491,-117.2404779,West_Coast,West,Not_NEP,Not_NEP,Californian Province,PROB,Small,California,Mission Bay,-1962080.682,-309835.247,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10188,2012091,NCA20_CA-10014,1,7/28/2020,CA,32.66237766,-117.1271316,4.5,MARINE,2020,2020,CORE,Region_09,CalP_Other,Target_Sampled,San_Diego_Bay,32.66237766,-117.1271316,West_Coast,West,Not_NEP,Not_NEP,Californian Province,PROB,Small,California,San Diego Bay,-1954240.306,-323035.964,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10189,2012139,NCA20_CA-10015,1,7/30/2020,CA,33.73375609,-118.1517691,13.5,MARINE,2020,2020,CORE,Region_09,CalP_Other,Target_Sampled,Long_Beach_Harbor,33.73375609,-118.1517691,West_Coast,West,Not_NEP,Not_NEP,Californian Province,PROB,Small,California,San Pedro Bay,-2019709.469,-185095.834,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10191,2012111,NCA20_CA-10016,1,7/29/2020,CA,32.77340401,-117.2147785,2.5,MARINE,2020,2020,CORE,Region_09,CalP_Other,Target_Sampled,Mission_Bay,32.77340401,-117.2147785,West_Coast,West,Not_NEP,Not_NEP,Californian Province,PROB,Small,California,Mission Bay,-1959470.796,-309151.946,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10192,2012055,NCA20_CA-10017,1,7/27/2020,CA,32.63961291,-117.117329,1,MARINE,2020,2020,CORE,Region_09,CalP_Other,Target_Sampled,San_Diego_Bay,32.63961291,-117.117329,West_Coast,West,Not_NEP,Not_NEP,Californian Province,PROB,Small,California,San Diego Bay,-1953908.155,-325714.267,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10193,2012140,NCA20_CA-10018,1,7/30/2020,CA,33.73804127,-118.1793234,15.3,MARINE,2020,2020,CORE,Region_09,CalP_Other,Target_Sampled,Long_Beach_Harbor,33.73804127,-118.1793234,West_Coast,West,Not_NEP,Not_NEP,Californian Province,PROB,Small,California,San Pedro Bay,-2022065.29,-184044.114,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10233,2011985,NCA20_CA-10019,1,7/21/2020,CA,37.46821,-122.06396,0.6,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,San_Francisco_Bay,37.46821,-122.06396,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Small,California,San Francisco Bay,-2254904.865,307607.202,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10238,2014893,NCA20_CA-10020,1,9/14/2020,CA,38.05893,-121.81446,8.7,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,San_Francisco_Bay,38.05893,-121.81446,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Small,California,San Francisco Bay,-2216092.083,365493.479,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10239,2014894,NCA20_CA-10021,1,9/14/2020,CA,38.02279,-121.80843,8.8,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,San_Francisco_Bay,38.02279,-121.80843,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Small,California,San Francisco Bay,-2216673.801,361450.647,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10244,2012362,NCA20_CA-10022,1,8/17/2020,CA,37.47911,-122.07787,7.9,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,San_Francisco_Bay,37.47911,-122.07787,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Small,California,San Francisco Bay,-2255746.916,309113.187,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10214,2011925,NCA20_CA-10023,1,7/15/2020,CA,40.71158887,-124.2333783,1.5,MARINE,2020,2020,CORE,Region_09,ColP_Other,Target_Sampled,Humboldt_Bay,40.71158887,-124.2333783,West_Coast,West,Not_NEP,Not_NEP,Columbian Province,PROB,Small,California,Humboldt Bay,-2330856.048,708712.394,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10246,2014779,NCA20_CA-10024,1,9/1/2020,CA,38.12411022,-122.3843113,1,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,San Francisco Bay,38.12411022,-122.3843113,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Large,California,San Francisco Bay,-2261760.436,385950.7881,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10247,2014781,NCA20_CA-10025,1,8/31/2020,CA,37.98671806,-122.3694613,1.3,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,San Francisco Bay,37.98671806,-122.3694613,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Large,California,San Francisco Bay,-2264738.635,370787.0978,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10248,2014828,NCA20_CA-10026,1,9/8/2020,CA,37.69093559,-122.3030808,9.3,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,San Francisco Bay,37.69093559,-122.3030808,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Large,California,San Francisco Bay,-2268242.859,337317.7175,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10249,2012406,NCA20_CA-10027,1,8/20/2020,CA,37.89547899,-122.3996402,8.1,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,San Francisco Bay,37.89547899,-122.3996402,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Large,California,San Francisco Bay,-2270067.956,361672.521,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10250,2012305,NCA20_CA-10028,1,8/12/2020,CA,37.9394658,-122.4237466,2.5,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,San Francisco Bay,37.9394658,-122.4237466,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Large,California,San Francisco Bay,-2270733.955,366989.3501,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10251,2014916,NCA20_CA-10029,1,9/16/2020,CA,38.05858963,-122.0912226,1,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,San Francisco Bay,38.05858963,-122.0912226,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Large,California,San Francisco Bay,-2239264.953,371944.3544,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10252,2014859,NCA20_CA-10030,1,9/10/2020,CA,37.73505306,-122.298556,4.8,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,San Francisco Bay,37.73505306,-122.298556,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Large,California,San Francisco Bay,-2266511.773,341966.1362,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10253,2014843,NCA20_CA-10031,1,9/9/2020,CA,37.78492971,-122.3754408,18.5,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,San Francisco Bay,37.78492971,-122.3754408,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Large,California,San Francisco Bay,-2271435.629,349178.5635,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10254,2014798,NCA20_CA-10032,1,9/2/2020,CA,38.04020943,-122.3354967,8.1,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,Inner Oakland Harbor,38.04020943,-122.3354967,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Large,California,San Francisco Bay,-2260256.424,375744.9185,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10255,2012387,NCA20_CA-10033,1,8/19/2020,CA,37.61354892,-122.24001,2.6,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,San Francisco Bay,37.61354892,-122.24001,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Large,California,San Francisco Bay,-2265307.51,327469.5401,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10256,2014827,NCA20_CA-10034,1,9/8/2020,CA,37.69613149,-122.351013,9.5,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,San Francisco Bay,37.69613149,-122.351013,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Large,California,San Francisco Bay,-2272110.497,339022.8662,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10257,2012360,NCA20_CA-10035,1,8/18/2020,CA,37.55705416,-122.1328493,1,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,San Francisco Bay,37.55705416,-122.1328493,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Large,California,San Francisco Bay,-2258010.384,318826.5929,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10258,2014780,NCA20_CA-10036,1,9/1/2020,CA,38.06154055,-122.408219,1.9,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,San Francisco Bay,38.06154055,-122.408219,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Large,California,San Francisco Bay,-2265680.729,379776.0098,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10259,2012388,NCA20_CA-10037,1,8/19/2020,CA,37.6107642,-122.2765803,10.5,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,San Francisco Bay,37.6107642,-122.2765803,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Large,California,San Francisco Bay,-2268469.021,328041.6188,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10261,2012027,NCA20_CA-10039,1,7/22/2020,CA,37.50508931,-122.1298646,1.8,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,San Francisco Bay,37.50508931,-122.1298646,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Large,California,San Francisco Bay,-2259340.197,313150.683,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10262,2014905,NCA20_CA-10040,1,9/15/2020,CA,38.10857506,-122.0628518,1.1,MARINE,2020,2020,CORE,Region_09,CalP_San_Francisco_Bay,Target_Sampled,San Francisco Bay,38.10857506,-122.0628518,West_Coast,West,San Francisco Estuary Partnership,NEP,Californian Province,PROB,Large,California,San Francisco Bay,-2235374.119,376669.3959,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10263,2011848,NCA20_CA-10041,1,7/7/2020,CA,35.33017816,-120.845048,0.8,MARINE,2020,2020,CORE,Region_09,CalP_Other,Target_Sampled,Morro Bay,35.33017816,-120.845048,West_Coast,West,Morro Bay,NEP,Californian Province,PROB,Small,California,Morro Bay,-2213822.724,48008.12802,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10264,2012306,NCA20_CA-10042,1,8/11/2020,CA,38.1417168,-122.8926239,5.8,MARINE,2020,2020,CORE,Region_09,ColP_Other,Target_Sampled,Tomales Bay,38.1417168,-122.8926239,West_Coast,West,Not_NEP,Not_NEP,Columbian Province,PROB,Small,California,Tomales Bay,-2303625.923,400056.8735,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10265,2011892,NCA20_CA-10043,1,7/14/2020,CA,40.63935488,-124.3115076,1,MARINE,2020,2020,CORE,Region_09,ColP_Other,Target_Sampled,Eel River,40.63935488,-124.3115076,West_Coast,West,Not_NEP,Not_NEP,Columbian Province,PROB,Small,California,Eel River,-2339489.18,702897.27,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
10/3/2024,NCA_CA-10266,2012056,NCA20_CA-10044,1,7/27/2020,CA,32.62579511,-117.1316042,3.5,MARINE,2020,2020,CORE,Region_09,CalP_Other,Target_Sampled,San Diego Bay,32.62579511,-117.1316042,West_Coast,West,Not_NEP,Not_NEP,Californian Province,PROB,Small,California,San Diego Bay,-1955547.045,-326923.9272,Outside Chesapeake Bay,Outside Gulf Coast,Outside PPB,Y,
