PUBLICATION_DATE,STUDY,UID,SITE_ID,PSTL_CODE,VISIT_NO,SAMPLE_ID,YEAR,DATE_COL,NCCA_REG,FEAT_NM,INDEX_NCCA15,INDEX_AP,DEPTH,GRAB_AREA,GRABS,GRAB_TYPE,FINAL_GRAB_AREA,SIEVE_SIZE,SALINITY,QA_FLAG,COMMENT,CONDITION_CODE
44313,Albemarle_Pamlico,181913,NCCA15-1172,NC,1,808344,2015,10-Sep,Southeast,Pungo_River,(blank),Y,9,0.04,1,VAN_VEEN,0.04,0.5,13.52,(blank),(blank),OK
44313,Albemarle_Pamlico,181914,NCCA15-2277,NC,1,808584,2015,10-Sep,Southeast,Pungo_River,(blank),Y,9,0.04,1,VAN_VEEN,0.04,0.5,13.06,(blank),(blank),OK
44313,Albemarle_Pamlico,182076,NCCA15-2264,NC,1,808624,2015,11-Sep,Southeast,Albermarle_Sound,(blank),Y,9,0.04,1,VAN_VEEN,0.04,0.5,NOT LISTED,(blank),(blank),OK
44313,Albemarle_Pamlico,182077,NCCA15-2266,NC,1,808604,2015,11-Sep,Southeast,Chowan_River,(blank),Y,9,0.04,1,VAN_VEEN,0.04,0.5,0.05,IM,(blank),OK
44313,Albemarle_Pamlico,182077,NCCA15-2266,NC,1,808604,2015,11-Sep,Southeast,Chowan_River,(blank),Y,9,0.04,1,VAN_VEEN,0.04,0.5,0.05,(blank),(blank),OK
44313,Albemarle_Pamlico,182223,NCCA15-2268,NC,1,808284,2015,15-Sep,Southeast,Croatan_Sound,(blank),Y,8,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,0.5,8.16,DD,(blank),OK
44313,Albemarle_Pamlico,182223,NCCA15-2268,NC,1,808284,2015,15-Sep,Southeast,Croatan_Sound,(blank),Y,8,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,0.5,8.16,(blank),(blank),OK
44313,Albemarle_Pamlico,182464,NCCA15-1164,NC,1,808064,2015,16-Sep,Southeast,Albermarle_Sound,(blank),Y,8,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,0.5,5.38,(blank),(blank),OK
44313,Albemarle_Pamlico,182465,NCCA15-1173,NC,1,808244,2015,16-Sep,Southeast,Albermarle_Sound,(blank),Y,8,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,0.5,4.21,IM,(blank),OK
44313,Albemarle_Pamlico,182465,NCCA15-1173,NC,1,808244,2015,16-Sep,Southeast,Albermarle_Sound,(blank),Y,8,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,0.5,4.21,(blank),(blank),OK
44313,Albemarle_Pamlico,182916,NCCA15-1174,NC,1,808044,2015,17-Sep,Southeast,Albermarle_Sound,(blank),Y,8,0.04,2,OTHER: YOUNG-MODIFIED VAN VEEN,0.08,0.5,NOT LISTED,(blank),(blank),OK
44313,Albemarle_Pamlico,182917,NCCA15-2274,NC,1,808024,2015,17-Sep,Southeast,Little_Alligator_River,(blank),Y,8,0.04,2,OTHER: YOUNG-MODIFIED VAN VEEN,0.08,0.5,1.73,IM,(blank),OK
44313,Albemarle_Pamlico,182917,NCCA15-2274,NC,1,808024,2015,17-Sep,Southeast,Little_Alligator_River,(blank),Y,8,0.04,2,OTHER: YOUNG-MODIFIED VAN VEEN,0.08,0.5,1.73,"IM, DD",(blank),OK
44313,Albemarle_Pamlico,182917,NCCA15-2274,NC,1,808024,2015,17-Sep,Southeast,Little_Alligator_River,(blank),Y,8,0.04,2,OTHER: YOUNG-MODIFIED VAN VEEN,0.08,0.5,1.73,(blank),(blank),OK
44313,Albemarle_Pamlico,183366,NCCA15-1167,NC,1,808004,2015,18-Sep,Southeast,Alligator_River,(blank),Y,9,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,0.5,2.48,(blank),(blank),OK
44313,Albemarle_Pamlico,184002,NCCA15-1169,NC,1,808364,2015,22-Sep,Southeast,Little_River,(blank),Y,8,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,0.5,0.79,(blank),(blank),OK
44313,Albemarle_Pamlico,184266,NCCA15-2272,NC,1,808164,2015,23-Sep,Southeast,Northwest_River,(blank),Y,8,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,0.5,0.81,(blank),(blank),OK
44313,Albemarle_Pamlico,185532,NCCA15-1161,NC,1,808124,2015,29-Sep,Southeast,Pamlico_Sound,(blank),Y,9,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,0.5,25.56,(blank),(blank),OK
44313,Albemarle_Pamlico,185533,NCCA15-1165,NC,1,808104,2015,29-Sep,Southeast,Corrituck_Sound,(blank),Y,9,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,0.5,12.15,(blank),(blank),OK
44313,Albemarle_Pamlico,185911,NCCA15-2270,NC,1,808084,2015,30-Sep,Southeast,Corrituck_Sound,(blank),Y,9,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,0.5,3.91,(blank),(blank),OK
44313,Albemarle_Pamlico,187210,NCCA15-1175,VA,1,809044,2015,8-Oct,Northeast,Back_Bay,(blank),Y,8,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,0.5,1.55,(blank),(blank),OK
44313,Albemarle_Pamlico,187211,NCCA15-2260,NC,1,808264,2015,8-Oct,Southeast,Albermarle_Sound,(blank),Y,9,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,0.5,7.75,(blank),(blank),OK
44313,Albemarle_Pamlico,187500,NCCA15-2276,NC,1,809004,2015,9-Oct,Southeast,Pamlico_Sound,(blank),Y,8,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,0.5,27.66,"IM, DD",(blank),OK
44313,Albemarle_Pamlico,187500,NCCA15-2276,NC,1,809004,2015,9-Oct,Southeast,Pamlico_Sound,(blank),Y,8,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,0.5,27.66,"IN, DD",(blank),OK
44313,Albemarle_Pamlico,187500,NCCA15-2276,NC,1,809004,2015,9-Oct,Southeast,Pamlico_Sound,(blank),Y,8,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,0.5,27.66,(blank),(blank),OK
44313,Albemarle_Pamlico,187990,NCCA15-2269,NC,1,809024,2015,14-Oct,Southeast,Pamlico_Sound,(blank),Y,9,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,0.5,21.21,"IN, DD",(blank),OK
44313,Albemarle_Pamlico,187990,NCCA15-2269,NC,1,809024,2015,14-Oct,Southeast,Pamlico_Sound,(blank),Y,9,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,0.5,21.21,(blank),(blank),OK
44313,Estuarine,167180,NCCA15-1475,LA,1,781124,2015,1-Jun,Gulf,Lake_Borgne,Y,(blank),6,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,0.5,2.29,"IN, DD","NUMEROUS GRABS, FINAL WAS 6CM; Grab depth less than 7 cm.",OK
44313,Estuarine,167180,NCCA15-1475,LA,1,781124,2015,1-Jun,Gulf,Lake_Borgne,Y,(blank),6,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,0.5,2.29,(blank),"NUMEROUS GRABS, FINAL WAS 6CM; Grab depth less than 7 cm.",OK
44313,Estuarine,167241,NCCA15-2435,LA,1,781004,2015,2-Jun,Gulf,Lake_St_Catherine,Y,(blank),9,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,0.5,1.41,(blank),(blank),OK
44313,Estuarine,167243,NCCA15-1685,FL,1,774644,2015,1-Jun,Gulf,Old_Tampa_Bay,Y,(blank),7,0.04,1,VAN_VEEN,0.04,0.5,25.2,IM,(blank),OK
44313,Estuarine,167243,NCCA15-1685,FL,1,774644,2015,1-Jun,Gulf,Old_Tampa_Bay,Y,(blank),7,0.04,1,VAN_VEEN,0.04,0.5,25.2,"IM, IN",(blank),OK
44313,Estuarine,167243,NCCA15-1685,FL,1,774644,2015,1-Jun,Gulf,Old_Tampa_Bay,Y,(blank),7,0.04,1,VAN_VEEN,0.04,0.5,25.2,(blank),(blank),OK
44313,Estuarine,167244,NCCA15-2553,TX,1,782564,2015,2-Jun,Gulf,Galveston_Bay,Y,(blank),9,0.02,2,OTHER: EKMAN,0.04,0.5,1.3,IN,(blank),OK
44313,Estuarine,167244,NCCA15-2553,TX,1,782564,2015,2-Jun,Gulf,Galveston_Bay,Y,(blank),9,0.02,2,OTHER: EKMAN,0.04,0.5,1.3,(blank),(blank),OK
44313,Estuarine,167280,NCCA15-1478,LA,1,781144,2015,3-Jun,Gulf,Lake_Borgne,Y,(blank),7,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,0.5,1.25,"IN, DD",(blank),OK
44313,Estuarine,167280,NCCA15-1478,LA,1,781144,2015,3-Jun,Gulf,Lake_Borgne,Y,(blank),7,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,0.5,1.25,(blank),(blank),OK
44313,Estuarine,167290,NCCA15-2430,MS,1,772564,2015,3-Jun,Gulf,Pt_Aux_Chenes_Bay,Y,(blank),8,0.052,1,STANDARD PONAR,0.052,0.5,17.1,IM,(blank),OK
44313,Estuarine,167290,NCCA15-2430,MS,1,772564,2015,3-Jun,Gulf,Pt_Aux_Chenes_Bay,Y,(blank),8,0.052,1,STANDARD PONAR,0.052,0.5,17.1,"IN, DD",(blank),OK
44313,Estuarine,167290,NCCA15-2430,MS,1,772564,2015,3-Jun,Gulf,Pt_Aux_Chenes_Bay,Y,(blank),8,0.052,1,STANDARD PONAR,0.052,0.5,17.1,(blank),(blank),OK
44313,Estuarine,167302,NCCA15-1684,FL,1,774624,2015,2-Jun,Gulf,Hillsborough_Bay,Y,(blank),7,0.04,1,VAN_VEEN,0.04,0.5,24.4,IM,(blank),OK
44313,Estuarine,167302,NCCA15-1684,FL,1,774624,2015,2-Jun,Gulf,Hillsborough_Bay,Y,(blank),7,0.04,1,VAN_VEEN,0.04,0.5,24.4,"IN, DD",(blank),OK
44313,Estuarine,167302,NCCA15-1684,FL,1,774624,2015,2-Jun,Gulf,Hillsborough_Bay,Y,(blank),7,0.04,1,VAN_VEEN,0.04,0.5,24.4,(blank),(blank),OK
44313,Estuarine,167303,NCCA15-2369,FL,1,774664,2015,2-Jun,Gulf,McKay_Bay,Y,(blank),7,0.04,1,VAN_VEEN,0.04,0.5,19.3,IM,(blank),OK
44313,Estuarine,167303,NCCA15-2369,FL,1,774664,2015,2-Jun,Gulf,McKay_Bay,Y,(blank),7,0.04,1,VAN_VEEN,0.04,0.5,19.3,"IN, DD",(blank),OK
44313,Estuarine,167303,NCCA15-2369,FL,1,774664,2015,2-Jun,Gulf,McKay_Bay,Y,(blank),7,0.04,1,VAN_VEEN,0.04,0.5,19.3,(blank),(blank),OK
44313,Estuarine,167304,NCCA15-2554,TX,1,782544,2015,3-Jun,Gulf,Jones_Bay,Y,(blank),9,0.02,2,OTHER: EKMAN,0.04,0.5,10.2,(blank),(blank),OK
44313,Estuarine,167480,NCCA15-2371,FL,1,774684,2015,3-Jun,Gulf,Boca_Ciega_Bay,Y,(blank),6,0.04,1,VAN_VEEN,0.04,0.5,34.1,IM,"LOCATION: 27.64649N, -082.270390W; Grab depth less than 7 cm.",OK
44313,Estuarine,167480,NCCA15-2371,FL,1,774684,2015,3-Jun,Gulf,Boca_Ciega_Bay,Y,(blank),6,0.04,1,VAN_VEEN,0.04,0.5,34.1,"IN, DD","LOCATION: 27.64649N, -082.270390W; Grab depth less than 7 cm.",OK
44313,Estuarine,167480,NCCA15-2371,FL,1,774684,2015,3-Jun,Gulf,Boca_Ciega_Bay,Y,(blank),6,0.04,1,VAN_VEEN,0.04,0.5,34.1,(blank),"LOCATION: 27.64649N, -082.270390W; Grab depth less than 7 cm.",OK
44313,Estuarine,167490,NCCA15-1687,FL,1,774704,2015,3-Jun,Gulf,Tampa_Bay,Y,(blank),6,0.04,1,VAN_VEEN,0.04,0.5,33.8,IM,Grab depth less than 7 cm.,OK
44313,Estuarine,167490,NCCA15-1687,FL,1,774704,2015,3-Jun,Gulf,Tampa_Bay,Y,(blank),6,0.04,1,VAN_VEEN,0.04,0.5,33.8,IN,Grab depth less than 7 cm.,OK
44313,Estuarine,167490,NCCA15-1687,FL,1,774704,2015,3-Jun,Gulf,Tampa_Bay,Y,(blank),6,0.04,1,VAN_VEEN,0.04,0.5,33.8,(blank),Grab depth less than 7 cm.,OK
44313,Estuarine,167500,NCCA15-2372,FL,1,773364,2015,4-Jun,Gulf,Tampa_Bay,Y,(blank),7,0.04,1,VAN_VEEN,0.04,0.5,28.7,IM,(blank),OK
44313,Estuarine,167500,NCCA15-2372,FL,1,773364,2015,4-Jun,Gulf,Tampa_Bay,Y,(blank),7,0.04,1,VAN_VEEN,0.04,0.5,28.7,"IM, IN",(blank),OK
44313,Estuarine,167500,NCCA15-2372,FL,1,773364,2015,4-Jun,Gulf,Tampa_Bay,Y,(blank),7,0.04,1,VAN_VEEN,0.04,0.5,28.7,"IN, DD",(blank),OK
44313,Estuarine,167500,NCCA15-2372,FL,1,773364,2015,4-Jun,Gulf,Tampa_Bay,Y,(blank),7,0.04,1,VAN_VEEN,0.04,0.5,28.7,(blank),(blank),OK
44313,Estuarine,167520,NCCA15-2433,LA,1,781164,2015,4-Jun,Gulf,Lake_Pontchartrain,Y,(blank),9,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,(blank),1.27,(blank),(blank),OK
44313,Estuarine,167521,NCCA15-2436,LA,1,781184,2015,4-Jun,Gulf,Lake_Pontchartrain,Y,(blank),9,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,(blank),1.7,(blank),(blank),OK
44313,Estuarine,167610,NCCA15-2439,MS,1,772524,2015,5-Jun,Gulf,Mississippi_Sound,Y,(blank),13,0.052,1,STANDARD PONAR,0.052,0.5,19.2,"IM, IN",(blank),OK
44313,Estuarine,167610,NCCA15-2439,MS,1,772524,2015,5-Jun,Gulf,Mississippi_Sound,Y,(blank),13,0.052,1,STANDARD PONAR,0.052,0.5,19.2,"IN, DD",(blank),OK
44313,Estuarine,167610,NCCA15-2439,MS,1,772524,2015,5-Jun,Gulf,Mississippi_Sound,Y,(blank),13,0.052,1,STANDARD PONAR,0.052,0.5,19.2,(blank),(blank),OK
44313,Estuarine,167640,NCCA15-1480,MS,1,772544,2015,4-Jun,Gulf,Mississippi_Sound,Y,(blank),9,0.052,1,STANDARD PONAR,0.052,0.5,NOT LISTED,IM,(blank),OK
44313,Estuarine,167640,NCCA15-1480,MS,1,772544,2015,4-Jun,Gulf,Mississippi_Sound,Y,(blank),9,0.052,1,STANDARD PONAR,0.052,0.5,NOT LISTED,(blank),(blank),OK
44313,Estuarine,167662,NCCA15-1479,MS,1,772644,2015,7-Jun,Gulf,Mississippi_Sound,Y,(blank),14,0.052,1,STANDARD PONAR,0.052,0.5,11.8,"IN, DD",(blank),OK
44313,Estuarine,167662,NCCA15-1479,MS,1,772644,2015,7-Jun,Gulf,Mississippi_Sound,Y,(blank),14,0.052,1,STANDARD PONAR,0.052,0.5,11.8,(blank),(blank),OK
44313,Estuarine,167810,NCCA15-2534,TX,1,772264,2015,8-Jun,Gulf,Aransas_Bay,Y,(blank),8,0.02,2,OTHER: EKMAN,0.04,0.5,8.4,"IN, DD",(blank),OK
44313,Estuarine,167810,NCCA15-2534,TX,1,772264,2015,8-Jun,Gulf,Aransas_Bay,Y,(blank),8,0.02,2,OTHER: EKMAN,0.04,0.5,8.4,(blank),(blank),OK
44313,Estuarine,167820,NCCA15-1356,MS,1,772504,2015,8-Jun,Gulf,Chandeleur_Sound,Y,(blank),11,0.052,1,STANDARD PONAR,0.052,0.5,14.9,IM,(blank),OK
44313,Estuarine,167820,NCCA15-1356,MS,1,772504,2015,8-Jun,Gulf,Chandeleur_Sound,Y,(blank),11,0.052,1,STANDARD PONAR,0.052,0.5,14.9,"IM, IN",(blank),OK
44313,Estuarine,167820,NCCA15-1356,MS,1,772504,2015,8-Jun,Gulf,Chandeleur_Sound,Y,(blank),11,0.052,1,STANDARD PONAR,0.052,0.5,14.9,"IN, DD",(blank),OK
44313,Estuarine,167820,NCCA15-1356,MS,1,772504,2015,8-Jun,Gulf,Chandeleur_Sound,Y,(blank),11,0.052,1,STANDARD PONAR,0.052,0.5,14.9,(blank),(blank),OK
44313,Estuarine,167821,NCCA15-1441,LA,1,782444,2015,8-Jun,Gulf,Sabine_Pass,Y,(blank),8,0.04,1,VAN_VEEN,0.04,0.5,5.65,(blank),(blank),OK
44313,Estuarine,167870,NCCA15-1474,LA,1,778284,2015,9-Jun,Gulf,Lake_Borgne,Y,(blank),9,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,0.5,NOT LISTED,DD,(blank),OK
44313,Estuarine,167870,NCCA15-1474,LA,1,778284,2015,9-Jun,Gulf,Lake_Borgne,Y,(blank),9,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,0.5,NOT LISTED,(blank),(blank),OK
44313,Estuarine,167890,NCCA15-1657,FL,1,774444,2015,9-Jun,Gulf,San_Carlos_Bay,Y,(blank),7,0.04,1,VAN_VEEN,0.04,0.5,34.8,IM,(blank),OK
44313,Estuarine,167890,NCCA15-1657,FL,1,774444,2015,9-Jun,Gulf,San_Carlos_Bay,Y,(blank),7,0.04,1,VAN_VEEN,0.04,0.5,34.8,IN,(blank),OK
44313,Estuarine,167890,NCCA15-1657,FL,1,774444,2015,9-Jun,Gulf,San_Carlos_Bay,Y,(blank),7,0.04,1,VAN_VEEN,0.04,0.5,34.8,"IN, DD",(blank),OK
44313,Estuarine,167890,NCCA15-1657,FL,1,774444,2015,9-Jun,Gulf,San_Carlos_Bay,Y,(blank),7,0.04,1,VAN_VEEN,0.04,0.5,34.8,(blank),(blank),OK
44313,Estuarine,167891,NCCA15-1660,FL,1,774584,2015,8-Jun,Gulf,Peace_River,Y,(blank),10,0.04,1,VAN_VEEN,0.04,0.5,28.4,IM,(blank),OK
44313,Estuarine,167891,NCCA15-1660,FL,1,774584,2015,8-Jun,Gulf,Peace_River,Y,(blank),10,0.04,1,VAN_VEEN,0.04,0.5,28.4,"IM, IN",(blank),OK
44313,Estuarine,167891,NCCA15-1660,FL,1,774584,2015,8-Jun,Gulf,Peace_River,Y,(blank),10,0.04,1,VAN_VEEN,0.04,0.5,28.4,(blank),(blank),OK
44313,Estuarine,167892,NCCA15-2342,FL,1,774544,2015,8-Jun,Gulf,Peace_River,Y,(blank),10,0.04,1,VAN_VEEN,0.04,0.5,28.4,"IM, IN",(blank),OK
44313,Estuarine,167892,NCCA15-2342,FL,1,774544,2015,8-Jun,Gulf,Peace_River,Y,(blank),10,0.04,1,VAN_VEEN,0.04,0.5,28.4,IN,(blank),OK
44313,Estuarine,167892,NCCA15-2342,FL,1,774544,2015,8-Jun,Gulf,Peace_River,Y,(blank),10,0.04,1,VAN_VEEN,0.04,0.5,28.4,(blank),(blank),OK
44313,Estuarine,167920,NCCA15-1436,LA,1,782424,2015,9-Jun,Gulf,Calcasieu_Lake,Y,(blank),9,0.04,1,VAN_VEEN,0.04,0.5,4.4,(blank),(blank),OK
44313,Estuarine,167930,NCCA15-1226,OR,1,783224,2015,9-Jun,West,Youngs_Bay,Y,(blank),2,0.1,1,VAN_VEEN,0.1,0.5,2,(blank),Grab depth less than 7 cm.;West Coast site marked with SIEVE_SIZE of 0.5 mm,OK
44313,Estuarine,167940,NCCA15-1371,TX,1,772204,2015,9-Jun,Gulf,Copano_Bay,Y,(blank),9,0.023,2,OTHER: PETITE PONAR,0.046,0.5,3,(blank),(blank),OK
44313,Estuarine,167941,NCCA15-1376,TX,1,772224,2015,9-Jun,Gulf,Copano_Bay,Y,(blank),9,0.02,2,OTHER: EKMAN,0.04,0.5,4,(blank),(blank),OK
44313,Estuarine,168140,NCCA15-1476,LA,1,778264,2015,10-Jun,Gulf,Lake_Borgne,Y,(blank),8,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,(blank),NOT LISTED,"IN, DD",(blank),OK
44313,Estuarine,168140,NCCA15-1476,LA,1,778264,2015,10-Jun,Gulf,Lake_Borgne,Y,(blank),8,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,(blank),NOT LISTED,(blank),(blank),OK
44313,Estuarine,168141,NCCA15-2441,LA,1,778104,2015,10-Jun,Gulf,Lake_Borgne,Y,(blank),7,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,0.5,NOT LISTED,(blank),(blank),OK
44313,Estuarine,168200,NCCA15-2645,OR,1,783264,2015,10-Jun,West,Youngs_Bay,Y,(blank),198,0.1,1,VAN_VEEN,0.1,0.5,2.6,IM,Invalid depth recorded. Depth unknown.;West Coast site marked with SIEVE_SIZE of 0.5 mm,OK
44313,Estuarine,168200,NCCA15-2645,OR,1,783264,2015,10-Jun,West,Youngs_Bay,Y,(blank),198,0.1,1,VAN_VEEN,0.1,0.5,2.6,(blank),Invalid depth recorded. Depth unknown.;West Coast site marked with SIEVE_SIZE of 0.5 mm,OK
44313,Estuarine,168202,NCCA15-2582,TX,1,772164,2015,10-Jun,Gulf,San_Antonio_Bay,Y,(blank),13,0.052,1,STANDARD PONAR,0.052,0.5,0.8,(blank),(blank),OK
44313,Estuarine,168203,NCCA15-2587,TX,1,772184,2015,10-Jun,Gulf,Ayres_Bay,Y,(blank),16,0.02,2,OTHER: EKMAN,0.04,0.5,4.1,(blank),;Grab Depth greater than 15 cm,OK
44313,Estuarine,168210,NCCA15-1484,MS,1,772664,2015,10-Jun,Gulf,Mississippi_Sound,Y,(blank),14,0.052,1,STANDARD PONAR,0.052,0.5,7.1,DD,(blank),OK
44313,Estuarine,168210,NCCA15-1484,MS,1,772664,2015,10-Jun,Gulf,Mississippi_Sound,Y,(blank),14,0.052,1,STANDARD PONAR,0.052,0.5,7.1,(blank),(blank),OK
44313,Estuarine,168230,NCCA15-1156,NC,1,783444,2015,11-Jun,Southeast,Batchelor_Bay,Y,Y,9,0.04,1,VAN_VEEN,0.04,0.5,0.1,"IN, DD",(blank),OK
44313,Estuarine,168230,NCCA15-1156,NC,1,783444,2015,11-Jun,Southeast,Batchelor_Bay,Y,Y,9,0.04,1,VAN_VEEN,0.04,0.5,0.1,(blank),(blank),OK
44313,Estuarine,168290,NCCA15-2082,NH,1,772384,2015,11-Jun,Northeast,Piscataqua_River,Y,(blank),8,0.04,1,VAN_VEEN,0.04,0.5,26.41,IN,(blank),OK
44313,Estuarine,168290,NCCA15-2082,NH,1,772384,2015,11-Jun,Northeast,Piscataqua_River,Y,(blank),8,0.04,1,VAN_VEEN,0.04,0.5,26.41,"IN, DD",(blank),OK
44313,Estuarine,168290,NCCA15-2082,NH,1,772384,2015,11-Jun,Northeast,Piscataqua_River,Y,(blank),8,0.04,1,VAN_VEEN,0.04,0.5,26.41,(blank),(blank),OK
44313,Estuarine,168292,NCCA15-1482,LA,1,778224,2015,11-Jun,Gulf,Lake_Borgne,Y,(blank),8,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,0.5,NOT LISTED,"IN, DD",(blank),OK
44313,Estuarine,168292,NCCA15-1482,LA,1,778224,2015,11-Jun,Gulf,Lake_Borgne,Y,(blank),8,0.04,1,OTHER: YOUNG-MODIFIED VAN VEEN,0.04,0.5,NOT LISTED,(blank),(blank),OK
44313,Estuarine,168320,NCCA15-1659,FL,1,773384,2015,10-Jun,Gulf,Pine_Island_Sound,Y,(blank),7,0.04,1,VAN_VEEN,0.04,0.5,32.6,IM,(blank),OK
44313,Estuarine,168320,NCCA15-1659,FL,1,773384,2015,10-Jun,Gulf,Pine_Island_Sound,Y,(blank),7,0.04,1,VAN_VEEN,0.04,0.5,32.6,"IM, IN",(blank),OK
44313,Estuarine,168320,NCCA15-1659,FL,1,773384,2015,10-Jun,Gulf,Pine_Island_Sound,Y,(blank),7,0.04,1,VAN_VEEN,0.04,0.5,32.6,IN,(blank),OK
44313,Estuarine,168320,NCCA15-1659,FL,1,773384,2015,10-Jun,Gulf,Pine_Island_Sound,Y,(blank),7,0.04,1,VAN_VEEN,0.04,0.5,32.6,"IN, DD",(blank),OK
44313,Estuarine,168320,NCCA15-1659,FL,1,773384,2015,10-Jun,Gulf,Pine_Island_Sound,Y,(blank),7,0.04,1,VAN_VEEN,0.04,0.5,32.6,(blank),(blank),OK
44313,Estuarine,168321,NCCA15-2343,FL,1,774504,2015,11-Jun,Gulf,Charlotte_Harbor,Y,(blank),7,0.04,1,VAN_VEEN,0.04,0.5,30.5,IM,(blank),OK
44313,Estuarine,168321,NCCA15-2343,FL,1,774504,2015,11-Jun,Gulf,Charlotte_Harbor,Y,(blank),7,0.04,1,VAN_VEEN,0.04,0.5,30.5,"IM, IN",(blank),OK
44313,Estuarine,168321,NCCA15-2343,FL,1,774504,2015,11-Jun,Gulf,Charlotte_Harbor,Y,(blank),7,0.04,1,VAN_VEEN,0.04,0.5,30.5,IN,(blank),OK
