Dataset:              Demersal Community Summary
File Name:            CP_DEM_C.txt
Date Created:         02Dec1998
# Variables:          6
# Header Records:     16
# Data Records:       200
Missing Value Symbol: .

Variables:    STA_NAME     Carolinian Province Office Sampling Station Code
              DATE         Sample collection date (YYMMDD)
              N_TRAWLS     Number of trawls
              D_TAXA       Mean number of demersal taxa per trawl
              D_ORGS       Mean demersal abundance per trawl
              D_HPRIME     Mean demersal H prime diversity per trawl

STA_NAME;DATE;N_TRAWLS;D_TAXA;D_ORGS;D_HPRIME
CP94054;940818;2;7.50;111.00;2.23
CP94055;940803;2;9.50;438.50;1.32
CP94056;940802;2;4.50;7.00;1.97
CP94057;940803;2;10.00;169.50;1.85
CP94058;940802;2;3.50;258.50;0.39
CP94059;940807;2;3.50;13.00;1.37
CP94060;940806;2;10.50;143.50;2.62
CP94061;940716;2;3.00;7.00;1.40
CP94062;940717;2;5.50;14.00;2.15
CP94063;940717;2;4.50;49.50;1.33
CP94064;940714;2;3.00;19.00;1.16
CP94065;940716;0;.;.;.
CP94066;940716;2;1.00;1.00;0.50
CP94067;940715;2;6.00;43.00;1.18
CP94068;940715;2;4.00;26.00;1.55
CP94069;940714;2;4.00;15.00;1.26
CP94070;940715;2;4.50;22.00;1.79
CP94071;940712;2;3.50;11.50;1.45
CP94072;940713;2;2.50;21.50;1.12
CP94073;940825;2;10.50;296.50;1.75
CP94074;940824;2;8.50;18.00;2.48
CP94075;940823;2;7.50;27.00;2.04
CP94076;940811;2;14.00;126.00;2.63
CP94077;940812;2;9.00;103.50;1.97
CP94078;940808;3;13.67;66.33;3.05
CP94079;940729;2;11.50;270.50;1.83
CP94080;940729;2;17.50;234.50;2.69
CP94081;940726;2;14.50;119.00;2.13
CP94082;940810;2;8.00;158.50;2.17
CP94083;940829;2;9.00;41.00;2.16
CP94084;940713;1;6.00;11.00;2.30
CP94CF_;940829;2;6.00;15.00;1.99
CP94ES4;940712;2;4.00;11.00;1.55
CP94JAC;940809;2;8.50;13.00;2.83
CP94MI_;940725;2;8.50;53.00;1.45
CP94RC_;940727;2;2.00;2.00;1.00
CP94ZI_;940726;2;11.00;62.50;2.67
CP95101;950810;2;5.00;64.50;1.75
CP95102;950808;2;1.00;1.00;0.00
CP95103;950809;2;3.00;64.50;0.29
CP95104;950811;2;3.50;184.50;1.23
CP95105;950810;2;8.00;232.00;1.43
CP95106;950810;2;7.50;244.50;1.66
CP95107;950811;2;3.50;42.00;1.16
CP95108;950809;2;5.50;59.00;1.90
CP95109;950813;2;6.50;45.50;1.86
CP95110;950813;2;5.00;41.50;1.82
CP95111;950813;2;6.00;59.50;1.75
CP95112;950812;2;7.00;104.00;1.42
CP95113;950812;2;3.50;8.50;1.55
CP95114;950720;2;2.50;43.50;0.82
CP95115;950726;2;5.00;18.00;1.78
CP95116;950718;2;4.00;111.00;0.36
CP95117;950721;2;4.50;37.50;1.32
CP95118;950711;2;6.50;24.00;2.09
CP95119;950711;2;4.50;58.50;1.80
CP95120;950719;2;2.50;15.00;0.85
CP95121;950719;2;0.00;0.00;0.00
CP95122;950719;2;0.00;0.00;0.00
CP95123;950726;2;4.00;9.50;1.66
CP95124;950718;2;2.00;72.00;0.68
CP95125;950712;2;8.00;104.50;1.90
CP95126;950712;2;5.50;90.00;1.32
CP95127;950712;2;5.00;130.00;0.88
CP95128;950718;2;9.00;267.50;1.53
CP95129;950718;2;10.00;316.50;1.57
CP95130;950725;2;11.00;95.00;2.44
CP95131;950725;2;7.00;28.00;2.43
CP95132;950723;2;1.50;3.50;0.72
CP95133;950723;2;4.00;5.50;1.81
CP95134;950720;2;9.50;148.50;1.77
CP95135;950724;2;2.50;2.50;1.00
CP95136;950815;2;4.50;50.50;1.27
CP95137;.;0;.;.;.
CP95138;950822;2;7.50;140.50;1.15
CP95139;950814;2;3.50;23.50;0.96
CP95140;950814;2;4.50;47.00;1.16
CP95141;950801;2;11.00;109.50;2.04
CP95142;950802;2;13.00;138.00;2.34
CP95143;950801;2;6.00;104.50;0.90
CP95144;950731;2;6.50;47.00;0.90
CP95145;950731;2;9.50;186.00;2.07
CP95146;950707;2;7.50;27.00;2.14
CP95147;950707;2;4.00;49.00;1.37
CP95148;950709;2;3.00;4.00;1.40
CP95149;950818;2;8.00;636.50;0.31
CP95150;950818;2;4.50;81.00;1.14
CP95151;950802;2;12.00;77.00;3.01
CP95152;950802;2;14.00;90.00;2.80
CP95153;950803;2;19.00;168.00;3.05
CP95154;950804;2;9.00;22.00;2.90
CP95155;950731;2;8.50;71.50;1.84
CP95156;950801;2;7.00;134.00;1.82
CP95157;950816;2;8.00;152.00;1.02
CP95158;950815;1;5.00;19.00;1.89
CP95159;950828;2;6.50;19.50;2.06
CP95160;950828;2;10.00;33.00;1.80
CP95161;950830;2;14.00;145.50;2.01
CP95162;950829;2;2.50;37.00;0.36
CP95163;950829;2;10.50;62.50;2.19
CP95164;950822;2;5.50;39.00;1.43
CP95165;950908;2;14.50;135.50;2.39
CP95166;950907;2;9.00;225.00;0.92
CP95167;950905;2;12.00;161.50;1.74
CP95168;950906;2;15.00;227.00;2.35
CP95169;950907;2;10.00;80.50;2.46
CP95170;950804;2;13.00;50.00;3.00
CP95171;950803;2;7.00;137.00;1.27
CP95172;950816;2;10.50;415.50;1.19
CP95173;950808;2;3.50;7.00;1.58
CP95174;950807;2;11.50;33.50;3.16
CP95175;950809;2;6.50;54.50;1.71
CP95176;950731;2;8.00;39.00;2.55
CP95177;950731;2;5.50;10.00;2.29
CP95178;950727;0;.;.;.
CP95179;950726;2;3.00;4.50;1.42
CP95180;950725;2;8.50;32.00;2.47
CP95181;950724;2;6.00;46.00;1.90
CP95182;950810;2;7.00;58.00;1.72
CP95183;950818;2;5.50;10.00;2.22
CP95184;950821;2;2.00;2.00;0.79
CP95185;950822;0;.;.;.
CP95186;950823;2;11.00;35.00;2.79
CP95187;950825;2;10.50;45.00;2.61
CP95188;950825;2;10.50;48.50;2.70
CP95CB_;950812;2;2.00;7.50;0.39
CP95CF_;950821;2;4.00;29.50;1.32
CP95MI_;950803;2;5.00;48.50;1.02
CP95RC_;950801;2;2.50;6.50;0.64
CP95ZI_;950821;2;11.00;112.00;1.70
