Dataset:              Infaunal Abundance - Summary by Station and Taxon
File Name:            CP_BEN_T.txt
Date Created:         01OCT1999
# Variables:          7
# Header Records:     17
# Data Records:       6596
Missing Value Symbol: .

Variables:    STA_NAME     Carolinian Province Office Station Name
              DATE         Sample collection date (YYMMDD)
              COD_EMAP     Carolinian Province Office Taxonomic Code
              N_GRABS      Number of grabs
              T_ABN        Total abundance (#)
              M_ABN        Mean abundance (#)
              SD_ABN       Std. dev. of abundance

STA_NAME;DATE;COD_EMAP;N_GRABS;T_ABN;M_ABN;SD_ABN
CP94003;940816;CALLBREV;2;6;3.00;1.41
CP94003;940816;CAPICAPI;1;5;5.00;.
CP94003;940816;CAPIJONE;1;3;3.00;.
CP94003;940816;CERABENT;2;55;27.50;10.61
CP94003;940816;CHIOCANC;1;1;1.00;.
CP94003;940816;CIRRXSPP;1;1;1.00;.
CP94003;940816;CORBSWIF;2;3;1.50;0.71
CP94003;940816;COROTUBE;2;6;3.00;1.41
CP94003;940816;CREPXSPP;2;6;3.00;2.83
CP94003;940816;CTENXSP2;1;1;1.00;.
CP94003;940816;CUMEXXSP;1;1;1.00;.
CP94003;940816;CYMACOMP;2;13;6.50;2.12
CP94003;940816;DEMOMICR;1;1;1.00;.
CP94003;940816;DIOPCUPR;1;2;2.00;.
CP94003;940816;DIPOSOCI;2;9;4.50;4.95
CP94003;940816;DYNAXXSP;2;5;2.50;2.12
CP94003;940816;EMPLXSP1;2;12;6.00;1.41
CP94003;940816;ERICATTE;1;2;2.00;.
CP94003;940816;ERICBRAS;2;24;12.00;2.83
CP94003;940816;EULIXSP1;1;2;2.00;.
CP94003;940816;EXOGDISP;2;478;239.00;57.98
CP94003;940816;FABRTRIL;2;431;215.50;19.09
CP94003;940816;GLYCAMER;1;2;2.00;.
CP94003;940816;GLYCSOLI;2;6;3.00;2.83
CP94003;940816;GRANBONN;2;38;19.00;7.07
CP94003;940816;HAMISUCC;2;11;5.50;0.71
CP94003;940816;HAMIXSPP;2;3;1.50;0.71
CP94003;940816;HOLOXSP1;2;30;15.00;1.41
CP94003;940816;HOLOXSP2;1;11;11.00;.
CP94003;940816;HOLOXSP3;1;3;3.00;.
CP94003;940816;KALLXSP1;1;2;2.00;.
CP94003;940816;KINBSIMO;2;27;13.50;2.12
CP94003;940816;LAONXSP1;2;12;6.00;4.24
CP94003;940816;LEPTTENU;2;11;5.50;4.95
CP94003;940816;LEPTXSPP;2;5;2.50;2.12
CP94003;940816;LEUCAMER;1;1;1.00;.
CP94003;940816;LINEXSP6;1;1;1.00;.
CP94003;940816;LYSIALBA;2;42;21.00;5.66
CP94003;940816;MEDIAMBI;2;21;10.50;7.78
CP94003;940816;MEDIXSPP;2;89;44.50;3.54
CP94003;940816;MOLGOCCI;2;5;2.50;0.71
CP94003;940816;NOLESTIP;2;2;1.00;0.00
CP94003;940816;ODONENOP;1;1;1.00;.
CP94003;940816;ODOSXSP3;2;2;1.00;0.00
CP94003;940816;OXYUSMIT;2;5;2.50;2.12
CP94003;940816;PARALUTE;1;2;2.00;.
CP94003;940816;PARVOBES;1;3;3.00;.
CP94003;940816;PECTGOUL;2;6;3.00;2.83
CP94003;940816;PHORXSPP;1;1;1.00;.
CP94003;940816;PHOTLONG;2;28;14.00;9.90
CP94003;940816;PISTPALM;1;1;1.00;.
CP94003;940816;PLATDUME;2;3;1.50;0.71
CP94003;940816;PODALEVI;2;2;1.00;0.00
CP94003;940816;PODAOBSC;1;1;1.00;.
CP94003;940816;POLYCORN;1;2;2.00;.
CP94003;940816;PORIXSP4;2;21;10.50;2.12
CP94003;940816;PRIOCRIS;1;1;1.00;.
CP94003;940816;PRIOPERK;1;1;1.00;.
CP94003;940816;PRUNAPIC;1;1;1.00;.
CP94003;940816;PSEU2SP1;2;131;65.50;12.02
CP94003;940816;PSEUXSP1;2;9;4.50;2.12
CP94003;940816;PSEUXSP2;1;3;3.00;.
CP94003;940816;RICTPUNC;2;5;2.50;2.12
CP94003;940816;RUDINAGL;1;2;2.00;.
CP94003;940816;SAVILAFO;2;2;1.00;0.00
CP94003;940816;SCOLRUBR;1;2;2.00;.
CP94003;940816;SCOLVERR;2;33;16.50;2.12
CP94003;940816;SCRUXXSP;2;2;1.00;0.00
CP94003;940816;SCYPPLAT;2;116;58.00;25.46
CP94003;940816;SEMEPROF;2;2;1.00;0.00
CP94003;940816;SPHEANTI;1;3;3.00;.
CP94003;940816;SPIOOCUL;2;28;14.00;2.83
CP94003;940816;STREBENE;1;1;1.00;.
CP94003;940816;SUNDSIBO;1;1;1.00;.
CP94003;940816;SYNCAMER;1;1;1.00;.
CP94003;940816;TAGEDIVI;2;6;3.00;2.83
CP94003;940816;TERESTRO;2;3;1.50;0.71
CP94003;940816;TURBDALL;2;10;5.00;2.83
CP94003;940816;TURBXSPP;1;1;1.00;.
CP94003;940816;XENABREV;2;5;2.50;0.71
CP94003;940816;XXX2HYDR;2;5;2.50;0.71
CP94003;940816;XXXXANTH;2;24;12.00;5.66
CP94003;940816;XXXXCHAE;1;1;1.00;.
CP94003;940816;XXXXENTO;2;2;1.00;0.00
CP94003;940816;XXXXMALD;2;39;19.50;4.95
CP94003;940816;XXXXNEMA;2;2;1.00;0.00
CP94003;940816;XXXXONUP;2;2;1.00;0.00
CP94004;940816;ACTECANA;2;287;143.50;34.65
CP94004;940816;AMATALTE;1;1;1.00;.
CP94004;940816;AMATXXSP;1;1;1.00;.
CP94004;940816;AMERBIGE;1;1;1.00;.
CP94004;940816;AMPEVADO;1;2;2.00;.
CP94004;940816;AMPEXSPP;1;1;1.00;.
CP94004;940816;AMYGPAPY;2;3;1.50;0.71
CP94004;940816;APHEXSP1;1;1;1.00;.
CP94004;940816;AXIOMUCO;2;16;8.00;1.41
CP94004;940816;AXIOXXSP;2;6;3.00;0.00
CP94004;940816;BOWMXSPP;1;2;2.00;.
CP94004;940816;BRANAMER;2;2;1.00;0.00
CP94004;940816;CAECPULC;2;23;11.50;6.36
CP94004;940816;CAPICAPI;2;2;1.00;0.00
CP94004;940816;CARIXSP1;1;1;1.00;.
CP94004;940816;CARIXSP2;2;6;3.00;0.00
CP94004;940816;CERABENT;1;2;2.00;.
CP94004;940816;CERATUBU;1;1;1.00;.
CP94004;940816;CHONXSP1;2;4;2.00;1.41
CP94004;940816;CYMACOMP;1;1;1.00;.
CP94004;940816;DIOPCUPR;1;1;1.00;.
CP94004;940816;DIPOSOCI;1;3;3.00;.
CP94004;940816;EMPLXSP1;2;14;7.00;2.83
CP94004;940816;ERICBRAS;2;2;1.00;0.00
CP94004;940816;ERYCXSP1;2;6;3.00;2.83
CP94004;940816;FABRTRIL;2;7;3.50;2.12
CP94004;940816;GLYCSOLI;2;10;5.00;0.00
CP94004;940816;GRANBONN;1;1;1.00;.
CP94004;940816;HAMIELEG;1;1;1.00;.
CP94004;940816;HAMISUCC;2;5;2.50;0.71
CP94004;940816;KINBSIMO;1;2;2.00;.
CP94004;940816;LEPTTENU;2;3;1.50;0.71
CP94004;940816;LEPTXSPP;1;1;1.00;.
CP94004;940816;MEDIAMBI;2;92;46.00;39.60
CP94004;940816;MEDIXSPP;1;5;5.00;.
CP94004;940816;MELOBICO;2;2;1.00;0.00
CP94004;940816;MONTDORS;1;3;3.00;.
CP94004;940816;MULILATE;1;1;1.00;.
CP94004;940816;NASSVIBE;2;4;2.00;1.41
CP94004;940816;ODOSXSP1;1;3;3.00;.
CP94004;940816;OPHIFILO;2;4;2.00;0.00
CP94004;940816;OXYUSMIT;2;80;40.00;31.11
CP94004;940816;PARAPINN;1;1;1.00;.
CP94004;940816;PARATRIQ;2;26;13.00;0.00
CP94004;940816;PHASSTRO;2;50;25.00;9.90
CP94004;940816;PHORARCH;1;2;2.00;.
CP94004;940816;PODALEVI;1;1;1.00;.
CP94004;940816;PSEUXSP1;2;33;16.50;2.12
CP94004;940816;RICTPUNC;1;1;1.00;.
CP94004;940816;SCOLETEX;2;12;6.00;1.41
CP94004;940816;SCOLRUBR;2;5;2.50;2.12
CP94004;940816;SCOLVERR;2;26;13.00;2.83
CP94004;940816;SPHATAYL;2;2;1.00;0.00
CP94004;940816;SPIOOCUL;2;27;13.50;4.95
CP94004;940816;TECTSQUA;1;1;1.00;.
CP94004;940816;TUBUXSP3;1;9;9.00;.
CP94004;940816;TURBINCI;2;4;2.00;0.00
CP94004;940816;XXX2HYDR;1;1;1.00;.
CP94004;940816;XXXXANTH;1;1;1.00;.
CP94004;940816;XXXXMALD;2;10;5.00;4.24
CP94004;940816;XXXXNEMA;2;2;1.00;0.00
CP94004;940816;XXXXONUP;1;2;2.00;.
CP94004;940816;XXXXSPIR;1;12;12.00;.
CP94004;940816;XXXXTUBI;1;1;1.00;.
CP94005;940802;ACTECANA;2;141;70.50;26.16
CP94005;940802;AMPEVADO;1;2;2.00;.
CP94005;940802;AMYGPAPY;2;24;12.00;12.73
CP94005;940802;ANOMAUBE;2;12;6.00;5.66
CP94005;940802;CAECPULC;2;10;5.00;4.24
CP94005;940802;CAPICAPI;2;59;29.50;0.71
CP94005;940802;CARIXSP2;2;11;5.50;6.36
CP94005;940802;CERABENT;2;7;3.50;3.54
CP94005;940802;CHIOCANC;1;2;2.00;.
CP94005;940802;COROBACO;1;1;1.00;.
CP94005;940802;CREPCONV;1;1;1.00;.
CP94005;940802;CYCLVARI;2;4;2.00;0.00
CP94005;940802;DIOPCUPR;2;7;3.50;0.71
CP94005;940802;DIPOSOCI;1;2;2.00;.
CP94005;940802;EMPLXSP1;1;1;1.00;.
CP94005;940802;GLYCSOLI;2;3;1.50;0.71
CP94005;940802;GRANBONN;1;1;1.00;.
CP94005;940802;HAMISUCC;2;4;2.00;1.41
CP94005;940802;HENRMORR;2;2;1.00;0.00
CP94005;940802;HOBSFLOR;2;2;1.00;0.00
CP94005;940802;KALLXSP1;1;2;2.00;.
CP94005;940802;KINBSIMO;2;41;20.50;4.95
CP94005;940802;MEDIAMBI;2;20;10.00;7.07
CP94005;940802;MEDIXSPP;2;70;35.00;31.11
CP94005;940802;MULILATE;2;42;21.00;14.14
CP94005;940802;NASSVIBE;1;1;1.00;.
CP94005;940802;NERECAST;1;1;1.00;.
CP94005;940802;OPHIFILO;2;2;1.00;0.00
CP94005;940802;OXYUSMIT;2;5;2.50;0.71
CP94005;940802;PARAPINN;1;2;2.00;.
CP94005;940802;PARATRIQ;1;1;1.00;.
CP94005;940802;PHASSTRO;2;25;12.50;2.12
CP94005;940802;PHORARCH;1;1;1.00;.
CP94005;940802;PODAOBSC;2;2;1.00;0.00
CP94005;940802;PORIXSP3;1;1;1.00;.
CP94005;940802;PRUNAPIC;1;1;1.00;.
CP94005;940802;RICTPUNC;2;8;4.00;0.00
CP94005;940802;SCOLETEX;2;3;1.50;0.71
CP94005;940802;SPIOOCUL;2;19;9.50;0.71
CP94005;940802;STREBENE;2;11;5.50;4.95
CP94005;940802;TUBUXSP3;2;13;6.50;2.12
CP94005;940802;TURBINCI;2;12;6.00;2.83
CP94005;940802;XXXXMALD;1;1;1.00;.
CP94005;940802;XXXXNEMA;2;2;1.00;0.00
CP94005;940802;XXXXTUBI;2;7;3.50;3.54
CP94006;940803;ACTECANA;1;4;4.00;.
CP94006;940803;AMERBIGE;1;2;2.00;.
CP94006;940803;AMPEVADO;1;1;1.00;.
CP94006;940803;AMPEXSPP;1;1;1.00;.
CP94006;940803;AMYGPAPY;2;8;4.00;2.83
CP94006;940803;ARICPHIL;1;1;1.00;.
CP94006;940803;AXIOMUCO;1;1;1.00;.
CP94006;940803;BRANAMER;2;2;1.00;0.00
CP94006;940803;BRANAREN;1;6;6.00;.
CP94006;940803;BUGUNERI;1;1;1.00;.
CP94006;940803;CAECPULC;1;1;1.00;.
CP94006;940803;CAPICAPI;2;5;2.50;0.71
CP94006;940803;CAPIJONE;2;3;1.50;0.71
CP94006;940803;COROBACO;1;2;2.00;.
CP94006;940803;CYMACOMP;1;6;6.00;.
CP94006;940803;DEMOMICR;1;2;2.00;.
CP94006;940803;DIOPCUPR;1;3;3.00;.
CP94006;940803;EMPLXSP1;1;1;1.00;.
CP94006;940803;GITATORT;2;6;3.00;0.00
CP94006;940803;GRANBONN;2;23;11.50;13.44
CP94006;940803;HAMISUCC;1;1;1.00;.
CP94006;940803;HETEFILI;2;2;1.00;0.00
CP94006;940803;LEITFRAG;1;1;1.00;.
CP94006;940803;LEPTXSPP;1;1;1.00;.
CP94006;940803;LIMNBARN;1;1;1.00;.
CP94006;940803;LONGCREN;1;4;4.00;.
CP94006;940803;MARPSANG;1;1;1.00;.
CP94006;940803;MEDIAMBI;1;19;19.00;.
CP94006;940803;MEDIXSPP;1;10;10.00;.
CP94006;940803;MESAXSP1;1;1;1.00;.
CP94006;940803;MOLGOCCI;2;9;4.50;4.95
CP94006;940803;MONTDORS;2;5;2.50;0.71
CP94006;940803;MULILATE;1;2;2.00;.
CP94006;940803;NASSVIBE;1;1;1.00;.
CP94006;940803;NEANSUCC;1;1;1.00;.
CP94006;940803;OXYUSMIT;1;3;3.00;.
CP94006;940803;PARAPINN;1;2;2.00;.
CP94006;940803;PARATRIQ;1;1;1.00;.
CP94006;940803;PECTGOUL;1;1;1.00;.
CP94006;940803;PHASSTRO;1;1;1.00;.
CP94006;940803;PHORARCH;1;2;2.00;.
CP94006;940803;PODALEVI;1;1;1.00;.
CP94006;940803;PODAOBSC;1;1;1.00;.
CP94006;940803;SCRUXXSP;1;1;1.00;.
CP94006;940803;SPIOOCUL;1;1;1.00;.
CP94006;940803;STREBENE;2;77;38.50;53.03
CP94006;940803;TAGEDIVI;1;1;1.00;.
CP94006;940803;TUBUXSP3;1;4;4.00;.
CP94006;940803;XXXXNEMA;2;2;1.00;0.00
CP94006;940803;XXXXSPIR;1;1;1.00;.
CP94006;940803;XXXXTUBI;2;7;3.50;0.71
CP94007;940816;ACTECANA;2;3;1.50;0.71
CP94007;940816;AMAETRIL;1;1;1.00;.
CP94007;940816;AMERBIGE;1;1;1.00;.
CP94007;940816;ARGUXSP1;1;1;1.00;.
CP94007;940816;AXIOMUCO;2;11;5.50;2.12
CP94007;940816;BEMLSETO;1;2;2.00;.
CP94007;940816;BOWMXSPP;1;1;1.00;.
CP94007;940816;CAECPULC;2;69;34.50;0.71
CP94007;940816;CARIXSP1;2;6;3.00;2.83
CP94007;940816;CERABENT;1;4;4.00;.
CP94007;940816;CERATUBU;1;1;1.00;.
CP94007;940816;COROBACO;1;1;1.00;.
CP94007;940816;CREPPLAN;1;1;1.00;.
CP94007;940816;DIOPCUPR;2;11;5.50;4.95
CP94007;940816;DIPOSOCI;1;3;3.00;.
CP94007;940816;EMPLXSP1;1;8;8.00;.
CP94007;940816;ERICBRAS;1;1;1.00;.
CP94007;940816;GITATORT;1;1;1.00;.
CP94007;940816;GLYCSOLI;2;13;6.50;0.71
CP94007;940816;GRANBONN;2;11;5.50;6.36
CP94007;940816;GRANOVUL;1;2;2.00;.
CP94007;940816;KINBSIMO;2;54;27.00;9.90
CP94007;940816;LEPTXSPP;1;1;1.00;.
CP94007;940816;LIMNBARN;1;6;6.00;.
CP94007;940816;LISTBARN;1;1;1.00;.
CP94007;940816;LONGCREN;1;1;1.00;.
CP94007;940816;MEDIAMBI;2;13;6.50;6.36
CP94007;940816;MEDICALI;1;1;1.00;.
CP94007;940816;MEDIXSPP;2;66;33.00;4.24
CP94007;940816;MOLGOCCI;1;1;1.00;.
CP94007;940816;MONTDORS;1;1;1.00;.
CP94007;940816;NEANSUCC;2;2;1.00;0.00
CP94007;940816;OXYUSMIT;1;3;3.00;.
CP94007;940816;PARAPINN;1;1;1.00;.
CP94007;940816;PARATENU;1;6;6.00;.
CP94007;940816;PARATRIQ;1;1;1.00;.
CP94007;940816;PARVMULT;1;1;1.00;.
CP94007;940816;PECTGOUL;2;5;2.50;2.12
CP94007;940816;PETTDUOF;2;29;14.50;16.26
CP94007;940816;PHASSTRO;1;8;8.00;.
CP94007;940816;PHORARCH;2;59;29.50;3.54
CP94007;940816;PODALEVI;2;3;1.50;0.71
CP94007;940816;PODAOBSC;1;2;2.00;.
CP94007;940816;POLYCORN;1;2;2.00;.
CP94007;940816;PRUNAPIC;1;1;1.00;.
CP94007;940816;SCOLETEX;2;4;2.00;1.41
CP94007;940816;SCOLRUBR;2;6;3.00;0.00
CP94007;940816;SCOLVERR;2;2;1.00;0.00
CP94007;940816;SPHALABY;2;4;2.00;0.00
CP94007;940816;SPIOOCUL;1;1;1.00;.
CP94007;940816;STREBENE;2;60;30.00;15.56
CP94007;940816;SYLLCORN;2;41;20.50;9.19
CP94007;940816;TUBUXSP3;1;6;6.00;.
CP94007;940816;XXXXANTH;2;42;21.00;14.14
CP94007;940816;XXXXMALD;2;9;4.50;0.71
CP94007;940816;XXXXNEMA;2;2;1.00;0.00
CP94007;940816;XXXXONUP;1;19;19.00;.
CP94007;940816;XXXXTUBI;2;30;15.00;4.24
CP94008;940803;ACTECANA;2;14;7.00;4.24
CP94008;940803;AMPEABDI;1;3;3.00;.
CP94008;940803;AMYGPAPY;2;8;4.00;4.24
CP94008;940803;AXIOMUCO;2;3;1.50;0.71
CP94008;940803;BOWEIMBR;1;1;1.00;.
CP94008;940803;BRANAMER;2;5;2.50;0.71
CP94008;940803;BRANAREN;2;3;1.50;0.71
CP94008;940803;BUGUXSPP;1;1;1.00;.
CP94008;940803;BUSYSPIR;1;1;1.00;.
CP94008;940803;CAPICAPI;2;16;8.00;7.07
CP94008;940803;CHIOCANC;1;1;1.00;.
CP94008;940803;DEMOMICR;1;1;1.00;.
CP94008;940803;DIOPCUPR;2;26;13.00;16.97
CP94008;940803;EMPLXSP1;2;5;2.50;0.71
CP94008;940803;ERICATTE;1;3;3.00;.
CP94008;940803;EXOGDISP;1;1;1.00;.
CP94008;940803;GITATORT;2;2;1.00;0.00
CP94008;940803;GLYCSOLI;2;9;4.50;0.71
CP94008;940803;GRANBONN;2;9;4.50;0.71
CP94008;940803;GRUBCLAV;2;6;3.00;0.00
CP94008;940803;HETEFILI;2;10;5.00;4.24
CP94008;940803;KINBSIMO;2;30;15.00;2.83
CP94008;940803;LINEXSP7;1;4;4.00;.
CP94008;940803;LONGCREN;2;3;1.50;0.71
CP94008;940803;MEDIAMBI;2;46;23.00;25.46
CP94008;940803;MEDIXSPP;2;39;19.50;14.85
CP94008;940803;MOLGOCCI;2;8;4.00;1.41
CP94008;940803;MULILATE;2;5;2.50;0.71
CP94008;940803;NASSVIBE;1;9;9.00;.
CP94008;940803;NEANSUCC;1;7;7.00;.
CP94008;940803;OXYUSMIT;2;12;6.00;4.24
CP94008;940803;PAGUMACL;1;1;1.00;.
CP94008;940803;PARAPINN;2;3;1.50;0.71
CP94008;940803;PECTGOUL;2;68;34.00;38.18
CP94008;940803;PHASSTRO;2;25;12.50;2.12
CP94008;940803;PHORARCH;2;19;9.50;10.61
CP94008;940803;PISTPALM;1;1;1.00;.
CP94008;940803;PODALEVI;1;2;2.00;.
CP94008;940803;PODAOBSC;2;4;2.00;1.41
CP94008;940803;POLYCORN;2;4;2.00;1.41
CP94008;940803;PORIXSP1;1;2;2.00;.
CP94008;940803;PORIXSP2;1;3;3.00;.
CP94008;940803;PRUNAPIC;1;1;1.00;.
CP94008;940803;PYRGPLIC;1;1;1.00;.
CP94008;940803;STREBENE;2;36;18.00;16.97
CP94008;940803;TUBUXSP3;1;8;8.00;.
CP94008;940803;XXXXEUNI;1;1;1.00;.
CP94008;940803;XXXXMALD;2;8;4.00;2.83
CP94008;940803;XXXXNEMA;2;2;1.00;0.00
CP94008;940803;XXXXNERE;1;2;2.00;.
CP94008;940803;XXXXONUP;1;2;2.00;.
CP94008;940803;XXXXTUBI;2;3;1.50;0.71
CP94009;940801;ACTECANA;1;1;1.00;.
CP94009;940801;AMPEVADO;1;3;3.00;.
CP94009;940801;AMPHTHRO;1;1;1.00;.
CP94009;940801;BRANAMER;1;1;1.00;.
CP94009;940801;CARIXSP1;2;2;1.00;0.00
CP94009;940801;DIOPCUPR;2;4;2.00;0.00
CP94009;940801;EMPLXSP1;1;2;2.00;.
CP94009;940801;EUPLCAUD;1;2;2.00;.
CP94009;940801;GLYCSOLI;1;6;6.00;.
CP94009;940801;GRANBONN;1;3;3.00;.
CP94009;940801;KINBSIMO;2;52;26.00;18.38
CP94009;940801;LEITFRAG;2;6;3.00;1.41
CP94009;940801;LYSIXXSP;1;1;1.00;.
CP94009;940801;MEDIAMBI;1;15;15.00;.
CP94009;940801;MEDIXSPP;1;7;7.00;.
CP94009;940801;MELIMACU;2;2;1.00;0.00
CP94009;940801;MOLGOCCI;1;2;2.00;.
CP94009;940801;MONTDORS;1;1;1.00;.
CP94009;940801;MULILATE;2;86;43.00;50.91
CP94009;940801;NASSVIBE;1;1;1.00;.
CP94009;940801;NEANSUCC;2;74;37.00;24.04
CP94009;940801;OPHIFILO;2;2;1.00;0.00
CP94009;940801;PARAPINN;2;9;4.50;0.71
CP94009;940801;PECTGOUL;2;32;16.00;9.90
CP94009;940801;PHASSTRO;2;4;2.00;1.41
CP94009;940801;PHORARCH;2;20;10.00;0.00
