Dataset:              Station Location Data
File Name:            va90_1_2.txt
Date Created:         02/23/96
# Variables:          5
# Header Records:     15
# Data Records:       111
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              LATDEG       Latitude (decimal degrees)
              LNGDEG       Longitude (decimal degrees)
              DEPTH        Depth (m)
              SYSTEM       Large water body system

STA_NAME     LATDEG     LNGDEG     DEPTH   SYSTEM
VA90-106    41.3647   -71.9645       4.4   LONG ISLAND SOUND
VA90-112    38.8783   -76.5183       3.4   CHESAPEAKE BAY
VA90-114    38.7450   -76.2417       3.6   CHESAPEAKE BAY
VA90-118    39.5417   -74.4083       4.2   NEW JERSEY COAST
VA90-122    40.4600   -74.0750       7.1   HUDSON RIVER
VA90-124    39.5017   -75.5333       3.1   DELAWARE BAY
VA90-128    38.4577   -77.0388       2.6   CHESAPEAKE BAY
VA90-130    37.9983   -75.6217       4.6   CHESAPEAKE BAY
VA90-134    39.2463   -76.5570       5.7   CHESAPEAKE BAY
VA90-136    39.3050   -76.4100       3.4   CHESAPEAKE BAY
VA90-141    37.6750   -76.9112       3.6   CHESAPEAKE BAY
VA90-144    37.1300   -75.9150       6.4   VIRGINIA COAST
VA90-150    38.5933   -75.1117       2.3   DELAWARE COAST-INDIAN RIVER BASIN
VA90-156    41.0000   -72.4117       9.9   EASTERN LONG ISLAND
VA90-158    40.1897   -74.0317       2.9   NEW JERSEY COAST
VA90-159    41.0617   -72.0017      16.0   EASTERN LONG ISLAND
VA90-161    40.8717   -72.4733       2.9   LONG ISLAND COAST
VA90-166    41.4267   -70.5167       8.2   NANTUCKET SOUND
VA90-169    41.2867   -73.0720       8.1   LONG ISLAND SOUND
VA90-173    40.6467   -74.0583      13.6   HUDSON RIVER
VA90-177    40.8833   -73.9428       3.4   HUDSON RIVER
VA90-178    40.1667   -74.7280       6.6   DELAWARE BAY
VA90-180    38.0702   -76.4647      17.8   CHESAPEAKE BAY
VA90-182    38.2183   -76.7857      10.2   CHESAPEAKE BAY
VA90-184    38.3982   -77.0840       8.2   CHESAPEAKE BAY
VA90-186    38.5000   -77.2748       7.5   CHESAPEAKE BAY
VA90-188    38.7367   -77.0333       9.7   CHESAPEAKE BAY
VA90-190    37.7367   -76.5845      13.7   CHESAPEAKE BAY
VA90-192    37.9650   -76.8672       2.3   CHESAPEAKE BAY
VA90-194    38.1105   -77.0000       8.5   CHESAPEAKE BAY
VA90-196    38.1650   -77.1422       4.0   CHESAPEAKE BAY
VA90-199    41.1500   -73.8828       4.3   HUDSON RIVER
VA90-200    38.2003   -77.2517       4.9   CHESAPEAKE BAY
VA90-202    36.9217   -76.3507       3.6   CHESAPEAKE BAY
VA90-204    37.0320   -76.5722       3.2   CHESAPEAKE BAY
VA90-206    37.2092   -76.7982       2.0   CHESAPEAKE BAY
VA90-208    37.2700   -77.0708       9.9   CHESAPEAKE BAY
VA90-210    37.3333   -77.2728       4.3   CHESAPEAKE BAY
VA90-215    41.7333   -73.9452      14.4   HUDSON RIVER
VA90-217    42.0000   -73.9388       8.1   HUDSON RIVER
VA90-219    39.5833   -75.5817       3.1   DELAWARE BAY
VA90-223    39.7500   -75.4833       5.0   DELAWARE BAY
VA90-227    39.8813   -75.1833      11.6   DELAWARE BAY
VA90-231    40.0505   -74.9667       5.2   DELAWARE BAY
VA90-250    39.2770   -74.9783       8.0   DELAWARE BAY
VA90-252    39.5805   -75.4953       4.1   DELAWARE BAY
VA90-254    39.4797   -75.9417       4.9   CHESAPEAKE BAY
VA90-256    39.9433   -74.1018       2.3   NEW JERSEY COAST
VA90-258    37.2997   -75.8333      13.3   VIRGINIA COAST
